# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
5154;"Kleve";5;227084;226898;119292;97565;1825;1177;117467;96388;53732;47087;32685;19929;10174;8989;5531;12145;3569;2943;;;651;212;217;535;1366;829;607;655;1394;555;256;137;88;93;225;173;41;34;71;114;114;88;26;49;42;21;21;19;5358;;369;;38;;515;;377;;;1781;
5158;"Mettmann";5;370957;375076;201473;161205;2714;1504;198759;159701;73652;60834;64042;36525;18288;19753;9353;24460;7498;6711;;;742;541;698;1722;2698;1626;1100;1047;2939;1154;439;220;264;252;614;386;80;97;113;216;174;137;98;149;133;43;27;42;13114;;974;;58;;884;;777;;;3786;
5162;"Rhein-Kreis Neuss";5;334173;332086;175598;139493;1986;1345;173612;138148;71166;59727;50027;27616;15202;14942;10561;22386;6046;4566;;;586;448;472;1192;2229;1269;964;884;2612;1018;301;132;85;134;426;271;80;92;111;179;224;136;78;76;47;35;27;33;9916;;809;;56;;758;;829;;;3012;
5166;"Viersen";5;228136;228323;120707;97902;1612;1101;119095;96801;51351;41949;32999;19369;11405;10600;6026;14826;4361;3734;;;500;331;219;631;1466;1074;567;648;1458;738;205;112;102;144;273;215;38;61;61;95;108;72;37;56;18;11;20;14;6179;;387;;42;;652;;621;;;2121;
5170;"Wesel";5;360478;362291;190119;154052;3004;1695;187115;152357;64557;55369;71545;47152;15451;15977;6133;16487;8325;7278;;;551;431;482;1246;2362;1524;822;1098;2459;1072;294;150;159;181;482;300;74;54;71;153;170;132;64;101;69;35;59;46;9844;;1114;;107;;1084;;837;;;3571;
5314;"Bonn, Stadt";5;227483;218558;136146;110283;1592;856;134554;109427;39943;37028;38159;21139;22508;22390;9557;17225;7947;4529;;;375;779;150;614;1321;909;448;357;2645;1319;410;261;153;198;250;181;54;77;62;109;131;126;93;96;40;37;26;27;7848;;1016;;36;;280;;1102;;;2026;
5315;"Köln, Stadt";5;729081;705314;387748;302387;3759;2309;383989;300078;100960;84404;119279;67619;70697;69589;18624;42378;26661;16118;;;1349;1101;723;2625;4559;2640;1236;1088;7171;3005;1117;1069;258;345;845;529;121;139;188;315;308;252;246;290;124;63;121;108;21176;;3495;;269;;1168;;3294;;;6401;
5316;"Leverkusen, Stadt";5;117710;118212;57450;47154;736;485;56714;46669;18753;17209;19107;11854;5401;5922;2255;6175;2778;2004;;;339;138;171;508;747;502;352;312;922;371;133;86;32;53;132;109;11;33;32;51;50;47;15;28;23;9;11;8;3768;;1049;;39;;245;;349;;;1250;
5334;"Städteregion Aachen";5;408743;405538;222895;184059;3265;2278;219630;181781;67369;64966;90483;52187;20783;24268;7689;19562;10112;8597;;;864;940;730;2167;2218;1549;800;888;4471;2113;596;216;117;187;406;345;84;90;103;165;214;149;70;99;37;51;34;50;8806;;1261;;48;;893;;1442;;;3192;
5358;"Düren";5;200004;200266;107570;85093;1814;1418;105756;83675;40240;35310;38857;21923;7195;7432;3259;9724;4109;3419;;;401;244;241;738;1349;949;592;695;1601;582;172;71;113;185;318;213;43;48;90;100;82;71;45;73;37;19;10;14;5533;;411;;27;;613;;418;;;1865;
