# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
905;"Nordrhein-Westfalen";99;13265031;13308501;6941739;5561960;95723;57960;6846016;5504000;2439979;2091945;2307234;1410141;688410;688272;274991;678273;322197;252475;;;27212;19380;18736;52777;80599;52410;31957;33795;99178;45071;15303;9265;8991;11223;17260;12304;2473;2967;4464;6971;7679;5934;4107;4757;1937;1453;1339;1476;369724;;42404;;3858;;38251;;37733;;;123111;

6411;"Darmstadt, Wissenschaftsstadt";6;105493;99183;51129;48518;439;973;50690;47545;11422;12946;13434;10232;11488;13086;1971;5107;4325;2479;;;291;187;88;417;524;431;259;230;1828;773;227;108;87;92;127;138;15;49;37;40;125;74;62;59;20;26;7;21;3451;;17;;51;;181;;653;;;1050;
6412;"Frankfurt am Main, Stadt";6;418278;402271;186201;156446;1446;1636;184755;154810;47256;47813;48905;28989;34838;35707;10335;21614;15533;9416;;;1132;1192;643;1810;2023;1304;541;453;3608;1807;536;247;192;253;534;345;94;91;100;117;203;132;291;219;58;64;84;65;14716;;90;;98;;907;;2038;;;3172;
6413;"Offenbach am Main, Stadt";6;66880;67294;24839;22338;319;377;24520;21961;6636;7692;6735;4526;3636;3862;818;2564;2121;1243;;;168;112;228;424;397;247;80;73;551;311;95;37;36;74;113;73;26;22;27;27;19;35;35;26;5;7;11;9;2344;;14;;14;;187;;224;;;597;
6414;"Wiesbaden, Landeshauptstadt";6;189820;188228;78728;68148;643;853;78085;67295;23312;24650;22264;14243;11725;12055;4077;8825;4538;2689;;;417;263;300;1001;811;483;206;212;1300;651;295;138;138;149;231;166;33;37;66;95;131;59;57;43;55;51;17;18;7161;;33;;21;;349;;548;;;1467;
6431;"Bergstraße";6;200057;199811;90704;87527;1519;2289;89185;85238;31607;34399;26531;20712;9502;10395;3331;10377;3607;2392;;;963;515;471;1565;1186;858;473;443;1150;669;231;123;211;270;374;225;40;62;111;138;139;84;55;60;20;18;22;38;7904;;21;;31;;753;;452;;;1895;
6432;"Darmstadt-Dieburg";6;213600;211889;97400;77256;1456;1269;95944;75987;28272;26124;30195;20312;13650;12455;3420;8679;4736;2458;;;754;502;376;929;1270;717;588;387;1988;738;335;134;283;264;378;192;65;80;103;83;160;94;123;112;29;27;24;12;7940;;35;;48;;590;;582;;;1688;
6433;"Groß-Gerau";6;175171;172776;73713;63417;1148;1250;72565;62167;20808;21034;24292;17089;8634;9414;2254;6605;4033;2516;;;526;324;418;1286;933;629;387;328;1430;587;206;78;117;137;354;207;47;50;51;73;96;49;106;96;30;23;15;10;6600;;38;;51;;650;;489;;;1632;
6434;"Hochtaunuskreis";6;165167;164675;83370;77835;799;1149;82571;76686;28611;30949;20107;12971;10494;11665;6185;13537;3352;2152;;;566;539;340;841;954;693;313;315;928;601;271;129;104;130;277;243;47;48;78;93;138;114;47;31;20;23;15;15;8896;;44;;22;;321;;441;;;1597;
6435;"Main-Kinzig-Kreis";6;300763;299597;120109;101668;1847;1898;118262;99770;37396;38092;35413;23716;12562;12691;4112;12721;6114;3848;;;1100;736;1004;1781;1639;1057;670;551;1597;763;529;176;191;195;561;327;98;57;139;173;210;127;129;113;39;33;20;13;12553;;75;;41;;1313;;757;;;2600;
6436;"Main-Taunus-Kreis";6;166024;164826;82454;74875;920;1171;81534;73704;27606;31202;20825;12167;10378;11026;4859;11745;3252;2030;;;813;740;238;797;838;599;326;331;1139;632;264;125;84;94;233;216;39;56;59;86;89;106;35;32;22;29;25;8;9551;;43;;15;;383;;418;;;1683;
6437;"Odenwaldkreis";6;72044;73458;31232;23937;618;522;30614;23415;9326;7949;10298;6654;2947;2962;948;2673;1677;930;;;255;168;260;634;491;210;176;105;392;189;130;53;71;77;151;57;26;28;33;35;52;39;29;27;13;6;6;7;2852;;12;;18;;295;;156;;;612;
6438;"Offenbach";6;239582;238126;103416;92888;1338;1851;102078;91037;34540;36564;27711;17253;12617;13332;4599;13504;5054;3000;;;890;706;677;1070;1335;866;454;414;1712;950;358;192;131;137;403;282;64;76;155;205;139;121;69;62;30;17;28;21;9763;;56;;21;;654;;618;;;2265;
6439;"Rheingau-Taunus-Kreis";6;138630;138347;64250;55536;745;794;63505;54742;21523;22051;18372;11539;7883;8283;2962;7462;2600;1513;;;486;305;217;752;809;491;294;214;838;468;196;78;96;100;218;163;36;41;48;74;102;53;22;15;28;24;13;10;6097;;30;;19;;291;;325;;;1106;
6440;"Wetteraukreis";6;224655;222777;90437;79395;1032;1287;89405;78108;27222;28857;27121;18858;10929;10744;3636;10969;4286;2567;;;993;922;329;799;1190;754;425;425;1178;620;319;131;178;203;318;204;45;55;71;90;109;93;48;38;15;23;27;17;8898;;47;;21;;1449;;551;;;1739;
6531;"Gießen";6;198130;194052;81310;82468;1018;2117;80292;80351;22947;25867;24940;23980;11213;11432;2713;9882;5156;3100;;;1160;1062;179;721;909;526;294;374;1201;1020;361;100;196;294;272;200;42;40;98;78;136;78;97;76;34;20;23;18;6914;;33;;31;;625;;718;;;1483;
6532;"Lahn-Dill-Kreis";6;192664;194588;64892;62294;723;1091;64169;61203;20988;24002;20849;16630;6085;6590;2000;7157;3157;2074;;;746;537;235;707;723;441;373;286;811;459;236;89;517;534;249;159;39;43;127;114;186;112;57;43;6;21;17;15;5574;;63;;23;;803;;305;;;1190;
6533;"Limburg-Weilburg";6;130500;132066;50251;50131;581;1235;49670;48896;18907;22836;14414;10852;4336;4528;1682;5610;1936;1386;;;517;363;151;483;647;422;223;261;582;387;126;77;48;77;190;152;19;44;67;85;87;59;20;29;9;14;14;18;5053;;30;;12;;379;;221;;;1213;
6534;"Marburg-Biedenkopf";6;185360;185244;72844;66676;765;818;72079;65858;20207;22314;23726;17566;10305;11408;1861;6565;5326;3295;;;465;298;253;754;791;441;312;307;987;650;376;142;325;335;196;173;38;49;134;120;150;108;77;58;21;29;25;25;5397;;34;;18;;370;;685;;;1221;
6535;"Vogelsbergkreis";6;86636;90150;36194;30261;706;604;35488;29657;11525;10774;11803;8039;3155;3222;1198;4125;1794;1083;;;481;391;159;413;373;212;235;193;343;218;109;38;72;70;117;89;18;29;29;38;58;54;15;21;5;13;13;8;3369;;11;;8;;425;;173;;;627;
6611;"Kassel, documenta-Stadt";6;142751;140842;57059;50120;592;845;56467;49275;12268;14119;16764;12853;10825;11155;1756;4688;6195;3260;;;330;146;102;325;675;412;189;179;1174;633;212;87;100;101;159;118;12;25;50;40;122;68;57;59;10;19;21;15;4560;;27;;85;;255;;519;;;973;
6631;"Fulda";6;169360;168532;66281;58139;837;979;65444;57160;31209;30668;12815;8593;6176;5808;2162;6195;2636;1536;;;435;346;254;631;613;396;382;383;665;368;214;101;154;137;204;163;45;63;143;226;257;153;31;45;15;13;12;16;5860;;34;;15;;788;;325;;;1319;
6632;"Hersfeld-Rotenburg";6;96421;98938;37534;33782;509;608;37025;33174;10526;11406;14795;11918;2825;2641;1015;3760;1609;1164;;;363;205;112;313;355;227;247;187;294;179;66;47;109;176;120;80;24;24;48;39;71;41;9;15;11;11;10;16;3651;;15;;13;;561;;176;;;725;
6633;"Kassel";6;190823;192080;78845;68383;1485;1590;77360;66793;19520;20179;31863;25214;8235;7989;1975;6699;3951;2566;;;625;261;212;515;894;549;376;354;799;433;168;71;123;129;283;164;19;38;42;54;113;53;46;33;9;10;17;14;7277;;42;;25;;400;;346;;;1468;
6634;"Schwalm-Eder-Kreis";6;145071;148295;62701;57555;1549;1780;61152;55775;15811;16662;24883;20883;6271;5991;1947;6359;2639;2013;;;824;463;205;496;686;519;350;345;564;296;112;74;121;119;258;148;24;39;59;50;90;53;32;35;15;13;10;10;5466;;25;;8;;455;;297;;;1207;
6635;"Waldeck-Frankenberg";6;126068;129014;46887;44842;582;620;46305;44222;15264;16389;15762;12453;4611;4810;2011;6328;2101;1299;;;524;266;163;467;487;335;252;289;403;242;135;79;116;155;188;102;22;23;32;52;83;68;24;19;8;13;11;8;3663;;29;;7;;252;;157;;;825;
6636;"Werra-Meißner-Kreis";6;83046;85733;35088;35387;698;1129;34390;34258;9585;11340;13724;12381;3337;3284;946;3503;1845;1398;;;256;232;84;315;363;289;177;215;308;163;78;44;46;63;112;95;15;23;24;37;51;31;30;29;8;9;12;8;2996;;6;;10;;233;;144;;;799;
906;"Hessen";99;4422994;4402792;1867868;1669822;24314;30735;1843554;1639087;564294;596878;558541;400623;238657;246535;74773;207253;103573;63407;;;16080;11781;7698;20246;21916;14108;8602;7854;27770;14807;6185;2698;3846;4365;6620;4481;992;1192;1931;2262;3116;2058;1603;1395;535;556;499;435;168506;;904;;726;;13869;;12318;;;36153;

7111;"Koblenz, kreisfreie Stadt";7;84878;82677;41846;37695;535;835;41311;36860;15735;14950;11331;8554;4941;4760;1769;4293;2002;1433;;;377;150;67;253;551;449;163;228;625;425;168;111;50;74;145;99;14;31;25;48;51;39;16;23;9;13;11;8;2741;;55;;15;;172;;278;;;919;
7131;"Ahrweiler";7;100539;100493;57741;55625;1104;1837;56637;53788;25759;26336;13783;9241;4449;4849;2643;6884;1715;1462;;;943;1028;120;517;820;663;231;359;683;369;235;166;45;70;217;134;27;54;43;82;90;48;44;26;11;17;11;11;4093;;73;;10;;320;;272;;;1472;
7132;"Altenkirchen (Westerwald)";7;101504;103312;56088;55306;1191;2174;54897;53132;22731;22994;17687;13492;3310;3986;1796;5876;1881;1980;;;705;466;185;565;802;705;279;398;529;316;128;92;313;547;239;150;35;49;76;93;92;59;24;35;8;8;13;9;3386;;106;;37;;334;;201;;;1312;
7133;"Bad Kreuznach";7;121149;121798;70980;67731;1708;2908;69272;64823;24511;24291;24367;18925;4949;5886;2897;7442;2479;2123;;;1074;718;251;901;1276;967;391;509;697;483;205;120;128;220;303;171;40;55;67;107;128;74;32;54;24;14;14;14;4583;;31;;17;;495;;313;;;1749;
7134;"Birkenfeld";7;66293;69054;35126;34734;1070;1864;34056;32870;12069;11150;12299;10329;1727;2302;1525;4303;1570;1691;;;404;138;140;460;634;533;247;349;353;203;84;45;48;61;155;64;29;30;19;33;56;55;14;41;10;8;9;10;2209;;15;;11;;291;;138;;;1065;
7135;"Cochem-Zell";7;50665;52224;32228;32391;1041;1789;31187;30602;16463;16610;7132;5559;1528;1721;1082;3327;897;683;;;445;310;82;294;406;388;162;292;251;225;69;36;40;98;101;82;19;22;42;64;42;46;2;19;7;7;7;8;2128;;22;;4;;128;;128;;;811;
7137;"Mayen-Koblenz";7;166771;167134;92494;87404;1977;3215;90517;84189;40411;39778;26883;20977;6104;6178;2848;8415;2700;2285;;;1295;761;252;767;1368;995;436;685;850;499;277;150;130;199;337;188;42;57;60;102;113;84;25;34;18;23;12;12;5467;;47;;30;;391;;421;;;2000;
7138;"Neuwied";7;138629;139421;75190;73749;1394;2534;73796;71215;29186;28928;23355;19383;5123;5938;2620;8347;2584;2299;;;1064;677;202;664;1223;1015;332;517;763;528;188;128;299;429;300;208;57;70;94;104;86;83;20;26;9;18;17;8;5476;;94;;25;;366;;313;;;1845;
7140;"Rhein-Hunsrück-Kreis";7;80424;81844;49619;48778;1264;2293;48355;46485;20248;19707;14814;11885;2874;3790;2077;5633;1809;1483;;;812;344;160;490;790;627;308;369;492;258;210;108;151;318;203;118;29;37;50;75;83;41;7;19;7;16;10;18;2723;;13;;10;;292;;183;;;1149;
7141;"Rhein-Lahn-Kreis";7;96743;99323;56918;55946;1365;2594;55553;53352;19420;19414;20034;16707;3728;4652;1693;5644;2010;1821;;;1143;677;191;658;967;753;361;485;567;375;149;96;85;133;247;153;34;55;39;50;57;48;20;34;10;13;13;16;4180;;21;;15;;331;;238;;;1568;
7143;"Westerwaldkreis";7;154995;155804;91273;88131;2303;3920;88970;84211;39004;37139;25802;20458;5704;6506;3066;9688;3006;2636;;;1448;702;305;1018;1390;1164;531;754;928;633;201;116;223;439;429;210;58;69;80;122;130;104;31;40;16;24;12;20;5578;;48;;27;;647;;306;;;2369;
7211;"Trier, kreisfreie Stadt";7;81791;81045;39723;37582;550;749;39173;36833;13603;13408;10947;8611;5814;6763;1284;3795;2161;1407;;;536;276;31;244;491;392;119;205;888;529;126;95;26;43;59;54;21;25;22;30;66;41;23;49;14;16;9;14;2298;;14;;9;;204;;408;;;836;
7231;"Bernkastel-Wittlich";7;87851;89040;52323;54036;1698;2973;50625;51063;23621;25119;12957;9699;3165;4089;2334;6213;1556;1643;;;1175;394;155;505;807;713;331;498;557;367;393;89;32;69;207;113;19;44;31;63;63;50;12;32;12;18;15;9;2642;;21;;22;;294;;204;;;1336;
7232;"Eifelkreis Bitburg-Prüm";7;73408;74318;46126;47603;1659;2894;44467;44709;21338;21834;11670;8811;3082;3429;1507;5286;1066;1362;;;1197;562;106;337;776;653;328;497;467;294;115;64;41;58;190;110;26;55;45;80;65;64;14;27;9;14;7;10;1989;;29;;12;;229;;159;;;1162;
7233;"Vulkaneifel";7;48766;49892;29543;29932;990;1683;28553;28249;13870;13221;7342;5759;1566;1950;1032;3959;992;878;;;615;246;89;242;469;424;162;323;286;161;68;48;34;42;125;63;14;27;37;73;49;32;8;19;5;9;3;11;1544;;16;;11;;141;;75;;;762;
7235;"Trier-Saarburg";7;112654;111779;69308;69210;2046;3704;67262;65506;30072;29990;18641;14836;5061;6244;1848;6479;2037;2193;;;2116;1060;162;538;1092;896;382;613;847;473;159;89;35;82;211;131;28;43;50;85;75;67;19;42;9;14;6;19;3747;;16;;16;;365;;268;;;1612;
7311;"Frankenthal (Pfalz), kreisfreie Stadt";7;34215;34298;16468;16195;299;502;16169;15693;6446;6936;4754;4022;1102;1312;519;1401;743;509;;;266;121;166;439;222;175;60;93;159;85;29;15;46;64;68;48;8;11;23;25;13;14;4;7;1;2;3;3;1322;;8;;3;;146;;58;;;411;
7312;"Kaiserslautern, kreisfreie Stadt";7;73674;72068;32162;29538;498;774;31664;28764;9262;9548;10406;8462;3257;3126;1301;2867;1988;1588;;;585;250;151;659;548;467;187;272;745;386;123;63;80;103;129;77;19;25;33;31;31;19;25;18;10;3;7;9;2088;;18;;14;;388;;269;;;791;
7313;"Landau in der Pfalz, kreisfreie Stadt";7;35005;33526;19137;16394;321;433;18816;15961;5756;5314;5728;4123;2815;2501;686;1782;762;607;;;334;149;56;209;322;230;96;110;345;201;92;47;55;110;73;48;10;18;24;22;16;16;12;17;4;3;3;9;1369;;6;;7;;93;;152;;;445;
7314;"Ludwigshafen am Rhein, kreisfreie Stadt";7;104309;104340;46979;48581;869;1343;46110;47238;13913;15362;16211;15190;3661;4120;1430;4228;2020;2019;;;607;358;590;2616;742;697;224;357;731;381;103;73;67;94;172;124;31;33;38;48;44;38;22;24;15;13;12;14;4449;;64;;47;;648;;269;;;1449;
7315;"Mainz, kreisfreie Stadt";7;146148;141798;80511;75252;906;1403;79605;73849;23900;24081;23013;16480;13846;14999;3424;8003;4101;2654;;;468;233;365;2308;913;621;191;252;1637;1246;1348;1085;68;116;147;116;39;41;83;82;71;79;50;47;19;26;16;29;4777;;96;;17;;188;;828;;;1351;
7316;"Neustadt an der Weinstraße, kreisfreie Stadt";7;41441;41977;22844;23420;359;669;22485;22751;8376;9370;6178;4848;2511;2785;1031;2637;774;714;;;777;394;101;348;306;293;110;210;240;161;100;62;60;137;88;55;20;20;38;35;53;28;11;15;4;4;4;2;1400;;9;;8;;139;;147;;;633;
7317;"Pirmasens, kreisfreie Stadt";7;32144;33381;14448;14890;393;710;14055;14180;5408;5215;4386;3718;557;893;502;1386;696;836;;;228;190;382;814;329;284;75;130;162;105;25;19;26;34;51;47;5;14;11;14;24;26;4;2;3;4;3;4;886;;3;;2;;218;;69;;;445;
7318;"Speyer, kreisfreie Stadt";7;36768;36874;18433;17882;263;369;18170;17513;5998;6103;5335;4097;2372;2670;673;1877;907;747;;;224;119;271;556;281;261;101;158;232;141;112;100;42;73;74;56;11;14;16;18;19;20;5;12;5;6;8;7;1266;;8;;5;;91;;114;;;478;
7319;"Worms, kreisfreie Stadt";7;59521;60192;29072;27426;632;1015;28440;26411;9446;9114;9570;8299;2573;2475;1165;2970;1066;900;;;406;202;161;720;460;329;130;199;345;220;100;40;40;110;107;66;26;32;26;24;32;22;18;24;11;5;6;7;2212;;14;;6;;388;;132;;;653;
7320;"Zweibrücken, kreisfreie Stadt";7;26888;27542;11738;12005;243;394;11495;11611;3366;3436;4293;3662;843;989;414;1345;660;804;;;165;191;65;198;235;199;79;103;197;128;45;113;21;47;37;21;13;4;15;13;15;19;4;10;5;3;3;2;827;;3;;1;;129;;60;;;324;
7331;"Alzey-Worms";7;97080;96895;59159;57273;1640;2413;57519;54860;18984;18373;19608;17002;4552;5172;2422;6466;2047;1656;;;1186;610;357;1543;1064;855;347;534;662;439;247;119;121;265;312;160;33;38;44;54;82;64;13;31;15;23;10;8;4480;;20;;19;;640;;254;;;1448;
7332;"Bad Dürkheim";7;104828;105222;63248;65547;1388;2117;61860;63430;22322;23049;19265;16957;4876;5702;2656;7932;1819;1883;;;2135;1261;389;1683;1163;1088;405;706;719;435;176;121;125;246;256;179;34;45;80;89;60;65;19;36;5;15;15;9;4452;;36;;14;;550;;289;;;1929;
7333;"Donnersbergkreis";7;58725;60031;34773;35123;964;1576;33809;33547;10237;10348;12154;10773;2349;2754;1271;3787;1313;1519;;;1328;619;190;907;723;651;268;397;455;276;101;65;60;105;195;119;17;21;33;55;44;34;9;16;8;20;7;4;2381;;11;;8;;497;;150;;;1077;
7334;"Germersheim";7;94277;93610;54520;53851;1262;2132;53258;51719;20506;20545;15878;12929;3563;4250;1868;5554;1632;1356;;;1344;694;735;1909;1024;879;316;575;659;476;279;309;135;231;289;189;41;24;60;94;62;73;21;17;17;20;15;15;4122;;20;;34;;393;;245;;;1580;
7335;"Kaiserslautern";7;81706;83228;50296;50725;1538;2502;48758;48223;17197;18266;16575;14119;2767;3130;1259;4262;1956;2148;;;2064;845;344;1413;1062;944;392;587;517;387;103;83;148;178;293;169;34;34;65;65;74;72;7;23;12;13;21;21;3060;;19;;5;;585;;199;;;1464;
7336;"Kusel";7;58242;60475;35735;35807;1235;2170;34500;33637;9543;9251;14340;12183;1927;2431;785;2960;1726;2414;;;1087;539;303;1082;800;704;319;439;418;274;58;44;79;98;185;98;19;26;48;43;34;49;23;35;8;10;7;7;2121;;10;;14;;488;;158;;;950;
7337;"Südliche Weinstraße";7;87691;87126;55485;55291;1574;2397;53911;52894;20420;20732;15943;13326;4550;5080;2160;6082;1550;1538;;;1514;790;409;1058;1020;915;357;582;628;403;185;110;134;268;296;160;41;44;71;83;84;63;36;28;33;12;21;15;3790;;39;;12;;369;;249;;;1605;
7338;"Rhein-Pfalz-Kreis";7;116626;116048;69431;67059;1318;2069;68113;64990;25735;24878;20869;16943;5344;6093;2551;7800;1894;1740;;;1343;737;638;2085;1102;964;410;605;873;531;183;140;103;183;266;209;44;58;66;84;70;65;26;29;10;15;9;12;5708;;26;;29;;515;;299;;;1819;
7339;"Mainz-Bingen";7;157364;154859;98591;93835;1933;2932;96658;90903;35459;34407;30374;23238;10073;11527;4034;10615;3097;2315;;;1442;796;452;2037;1566;1189;436;660;1310;858;564;380;143;177;359;209;62;49;66;108;109;81;28;29;25;34;15;25;6066;;37;;16;;433;;492;;;2169;
7340;"Südwestpfalz";7;80182;81649;53610;54430;2172;3456;51438;50974;21024;21055;15308;12675;2384;2914;1816;5300;1761;2129;;;1548;880;561;1586;1237;964;475;664;616;377;104;131;100;186;297;155;42;51;80;71;86;58;14;22;5;13;12;12;3042;;19;;14;;658;;235;;;1731;
907;"Rheinland-Pfalz";99;3093894;3104297;1763166;1726377;41702;69342;1721464;1657035;661339;660252;529232;426272;139047;157966;63988;184838;62977;57455;;;34400;18487;9184;32623;28981;24046;9741;14714;21433;13648;6852;4672;3333;5707;7162;4353;1041;1325;1700;2269;2269;1840;662;962;393;476;366;411;114602;;1087;;546;;12556;;8573;;;44719;

8111;"Stuttgart, Landeshauptstadt";8;378862;368282;201380;192772;1725;3117;199655;189655;61736;55220;46512;34148;39059;45406;10698;27500;11529;8560;;;3109;2260;889;3775;1857;1813;475;850;3538;2293;1362;1293;371;615;288;501;105;162;149;262;276;265;170;165;153;84;42;55;14887;;49;;238;;545;;1618;;;4428;
8115;"Böblingen";8;258396;255052;138646;137328;2146;3495;136500;133833;53400;49779;30164;22655;16588;20795;6380;21797;4524;3494;;;4826;2242;710;2531;1170;1385;585;1028;1761;1215;649;476;706;1701;296;450;101;119;197;269;596;497;38;55;32;41;31;25;12193;;48;;90;;805;;610;;;3279;
8116;"Esslingen";8;363627;358823;195920;198134;3058;5187;192862;192947;72535;70412;45347;35804;26801;31520;8101;27026;6462;5059;;;5974;2917;2549;6383;1771;2002;808;1628;2588;1506;1047;802;709;1196;448;640;141;170;290;369;453;518;53;97;35;47;37;36;14586;;45;;153;;792;;1137;;;4815;
8117;"Göppingen";8;179093;180607;90071;92262;2101;3493;87970;88769;34748;34059;21022;17279;10306;11666;3385;11926;2901;2717;;;2840;1858;726;2297;895;1045;422;857;841;713;466;377;253;517;209;297;71;101;142;199;183;164;25;45;19;33;20;18;7571;;31;;57;;467;;370;;;2601;
8118;"Ludwigsburg";8;363677;356755;198535;195839;3283;5303;195252;190536;72069;69215;47931;36798;25652;29474;8574;26986;6682;5789;;;6385;3714;1231;4562;1885;2156;850;1529;2191;1515;1387;790;701;1509;398;472;163;155;220;328;470;465;45;79;60;63;44;51;16232;;59;;133;;937;;953;;;4886;
8119;"Rems-Murr-Kreis";8;296116;293329;156642;155439;2749;4375;153893;151064;58877;56285;34777;27702;17377;21391;7859;22576;5033;4002;;;3842;2065;1123;3633;1533;1726;710;1371;1838;1194;1234;1110;938;1683;345;470;140;143;225;353;535;438;72;83;61;86;32;22;15467;;55;;87;;942;;791;;;4731;
8121;"Heilbronn, Stadt";8;78309;78133;33272;34708;503;936;32769;33772;11528;12533;9971;8188;3283;3687;1661;4924;1314;1125;;;375;295;202;811;262;275;114;198;309;253;209;207;61;126;78;67;18;33;28;42;40;44;12;12;6;11;5;6;2793;;41;;49;;273;;137;;;935;
8125;"Heilbronn";8;239085;236180;123791;125576;3266;5510;120525;120066;48454;48057;30817;25103;11247;12265;5202;17152;3523;3216;;;2274;1235;951;2798;1250;1455;764;1286;1135;871;1285;907;580;1089;340;316;101;104;213;274;285;211;29;50;42;44;29;35;10041;;42;;56;;1374;;491;;;3598;
8126;"Hohenlohekreis";8;82285;81880;42348;43609;988;1905;41360;41704;17613;16256;9745;9279;3958;3755;1893;6530;1484;908;;;878;481;279;934;380;484;330;590;412;285;224;145;220;403;97;126;46;52;79;96;119;82;13;31;17;19;16;18;2930;;10;;8;;449;;160;;;1230;
8127;"Schwäbisch Hall";8;141514;141371;68197;68683;1883;3189;66314;65494;25490;23233;16034;15306;8112;8070;2955;8736;2353;1897;;;1312;754;441;1377;657;733;475;858;723;521;916;562;454;808;180;160;84;80;127;187;208;196;40;45;27;28;49;19;4771;;19;;60;;521;;306;;;1924;
8128;"Main-Tauber-Kreis";8;103283;104424;59300;59707;1809;2859;57491;56848;28310;26972;12033;9464;4476;5453;1601;6539;1779;1564;;;1289;922;457;1299;516;583;487;930;576;407;735;512;132;265;116;168;62;59;108;114;123;85;8;20;14;13;14;17;3894;;24;;22;;493;;222;;;1462;
8135;"Heidenheim";8;95219;96626;44594;46712;983;1645;43611;45067;18133;19160;10735;9327;4644;5208;1040;4471;1518;1654;;;950;538;572;1052;438;471;275;396;440;287;510;432;201;337;108;155;27;36;66;105;111;82;94;135;9;9;11;8;3252;;18;;26;;277;;156;;;1204;
8136;"Ostalbkreis";8;230415;231041;116074;119900;3228;4781;112846;115119;54057;53109;24869;21292;10913;12938;3123;13056;3397;3282;;;2127;1029;795;2719;986;1089;587;1191;1081;751;441;331;338;807;241;285;109;111;181;225;246;155;31;48;39;44;41;33;7846;;35;;66;;861;;436;;;2624;
8211;"Baden-Baden, Stadt";8;39257;39979;18657;19131;273;548;18384;18583;7035;7688;4403;2971;2464;2901;1089;2954;533;445;;;330;181;60;220;216;214;79;137;143;102;63;53;42;45;44;50;6;11;16;45;25;37;7;9;5;6;3;6;1665;;9;;3;;64;;80;;;508;
8212;"Karlsruhe, Stadt";8;207006;202253;101277;90597;1071;1835;100206;88762;28839;26755;25595;17633;19266;19468;4665;13097;5328;3526;;;969;612;223;768;960;928;343;578;2950;1920;563;320;305;473;140;240;36;59;82;138;166;170;65;70;31;42;17;37;7961;;65;;75;;363;;1199;;;1928;
8215;"Karlsruhe";8;323232;320814;173398;170793;4865;7399;168533;163394;70759;69187;39874;31533;17574;19130;5830;22023;4990;3698;;;4066;1970;1355;3453;1899;2184;969;1641;2175;1523;611;365;677;1297;479;445;98;121;311;442;383;237;53;75;47;48;39;41;14325;;64;;68;;1003;;884;;;3981;
8216;"Rastatt";8;167850;168284;83628;83631;2723;4022;80905;79609;34976;34983;19073;14997;8466;9190;2560;10266;2001;1875;;;2214;935;406;1531;936;1139;455;888;803;633;239;169;153;218;253;281;43;51;109;156;106;85;37;45;20;18;29;32;7112;;36;;40;;488;;350;;;2117;
8221;"Heidelberg, Stadt";8;98268;95240;53822;48920;452;679;53370;48241;13983;13199;13388;9299;12757;13799;2574;6631;3421;2172;;;343;174;86;339;462;431;142;187;1250;574;313;182;81;140;57;91;19;28;40;39;69;57;36;42;8;14;12;12;3611;;13;;29;;139;;537;;;831;
8222;"Mannheim, Universitätsstadt";8;200318;199811;88285;81790;1317;1704;86968;80086;24552;25011;26169;22178;12359;12953;3495;8978;5125;4095;;;848;173;331;1585;1016;908;296;416;1485;853;274;155;161;226;211;207;44;48;59;104;119;82;71;104;28;40;26;17;8437;;47;;78;;874;;863;;;1953;
8225;"Neckar-Odenwald-Kreis";8;109800;111349;59582;61372;1963;3023;57619;58349;30153;31171;12223;9997;3901;4712;1302;5751;1454;1325;;;1352;545;371;1064;531;668;357;649;509;312;329;165;168;279;129;125;48;46;122;156;126;78;16;27;7;15;8;11;3822;;22;;26;;459;;184;;;1253;
