# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
07 1 37; Mayen-Koblenz;159751;102974;2403;100571;34722;55210;4265;0;609;2678;804;347;163;303;86;0;109;78;162;86;13;0;79;16;243;21;577
07 1 38; Neuwied;135962;83613;1647;81966;29306;42138;3860;0;745;2751;748;341;218;258;89;0;295;90;150;71;14;0;53;14;201;16;608
07 1 40; Rhein-Hunsrück-Kreis;79823;54865;1429;53436;18288;27774;2461;0;358;2572;548;161;132;199;55;0;97;64;86;69;11;0;57;11;133;17;343
07 1 41; Rhein-Lahn-Kreis;98659;63731;1657;62074;26423;27489;2771;0;462;2135;908;229;135;284;61;0;137;86;125;48;9;0;69;12;204;10;477
07 1 43; Westerwaldkreis;148803;96897;2538;94359;32660;50059;3805;0;742;2986;1284;380;146;349;109;0;262;106;213;131;19;0;127;24;295;21;641
07 2 11; Trier, Stadt;75744;38358;641;37717;11753;18972;3798;0;559;1078;544;224;123;85;56;0;37;29;46;37;7;0;30;7;106;8;218
07 2 31; Bernkastel-Wittlich;88798;60375;2253;58122;16375;34292;2623;0;312;2118;757;249;119;223;73;0;54;73;81;68;16;0;85;24;194;14;372
07 2 32; Bitburg-Prüm;73775;52921;2202;50719;14653;30325;1911;0;231;1510;486;254;161;226;50;0;48;42;82;78;12;0;67;19;162;15;387
07 2 33; Daun;49641;36002;1164;34838;9595;21374;1383;0;200;906;319;177;67;171;31;0;54;35;52;44;4;0;52;11;102;8;253
07 2 35; Trier-Saarburg;105693;74235;2860;71375;24482;38414;3422;0;451;1718;859;334;157;263;87;0;41;80;101;107;18;0;113;18;228;19;463
07 3 11; Frankenthal (Pfalz), Stadt;34204;19986;414;19572;7010;9975;856;0;177;516;544;72;24;67;14;0;40;40;41;17;4;0;18;3;65;3;86
07 3 12; Kaiserslautern, Stadt;73755;34428;593;33835;12385;15972;1959;0;345;1109;950;160;78;150;61;0;57;51;99;46;4;0;41;3;112;13;240
07 3 13; Landau in der Pfalz, Stadt;30330;17357;352;17005;5829;7816;1424;0;173;804;273;79;75;71;31;0;67;26;55;24;6;0;30;4;79;10;129
07 3 14; Ludwigshafen am Rhein, Stadt;105588;56486;958;55528;21747;24625;2541;0;707;1447;2657;307;103;244;73;0;84;69;125;35;7;0;72;5;192;25;463
07 3 15; Mainz, Stadt;128040;74393;1105;73288;23274;32895;7751;0;1319;3389;2358;271;695;201;93;0;74;71;66;85;27;0;50;17;230;24;398
07 3 16; Neustadt an der Weinstraße, Stadt;41123;25475;476;24999;7303;13550;1611;0;203;947;589;92;132;79;39;0;55;25;47;37;4;0;24;2;93;12;155
07 3 17; Pirmasens, Stadt;36993;18307;442;17865;6653;8777;677;0;118;508;557;84;37;89;27;0;32;25;40;12;1;0;26;1;40;3;158
07 3 18; Speyer, Stadt;35668;20056;392;19664;6324;9194;1424;0;285;670;904;79;275;71;28;0;50;21;38;24;4;0;19;3;84;6;161
07 3 19; Worms, Stadt;58617;30119;745;29374;11801;12953;1552;0;298;1045;781;125;51;109;31;0;73;41;117;25;7;0;30;4;99;8;224
07 3 20; Zweibrücken, Stadt;27996;16442;341;16101;7172;6630;635;0;150;554;282;76;160;59;26;0;23;24;67;12;3;0;16;3;50;4;155
07 3 31; Alzey-Worms;90430;61607;1846;59761;24913;24578;3297;0;394;2948;1466;198;111;289;54;0;189;78;258;42;16;0;85;14;243;22;566
07 3 32; Bad Dürkheim;102322;68584;1545;67039;24653;31646;3426;0;462;2951;1586;245;169;302;72;0;175;108;221;76;12;0;111;11;238;20;555
07 3 33; Donnersbergkreis;58196;40059;1140;38919;17068;15199;1865;0;314;1820;1113;176;92;192;79;0;94;52;184;34;13;0;49;6;177;15;377
07 3 34; Germersheim;87047;59382;1405;57977;18860;28980;2880;0;323;2075;2637;176;467;235;79;0;171;48;141;82;19;0;76;8;219;22;479
07 3 35; Kaiserslautern;82763;57718;1488;56230;21874;26825;2066;0;290;1505;1730;202;88;327;82;0;109;86;137;60;7;0;93;4;210;17;518
07 3 36; Kusel;62077;41526;1392;40134;20128;13517;1583;0;304;1184;2127;145;68;237;43;0;66;52;122;41;5;0;59;5;144;10;294
07 3 37; Südliche Weinstraße;83043;60205;1647;58558;18933;29746;3256;0;377;2616;1228;239;191;303;86;0;207;69;255;105;27;0;81;10;255;28;546
07 3 38; Ludwigshafen;110801;73700;1386;72314;24847;35711;3590;0;531;2852;2493;303;251;270;83;0;150;91;130;66;13;0;82;11;260;12;568
07 3 39; Mainz-Bingen;144725;95947;2123;93824;33162;44030;6583;0;889;4478;1720;339;281;385;99;0;170;124;232;90;26;0;107;17;294;28;770
07 3 40; Südwestpfalz;82586;61156;2209;58947;20047;30257;2069;0;342;2188;1619;236;206;383;100;0;146;108;217;72;14;0;137;14;262;21;509
907; Rheinland-Pfalz;3015747;1925055;49050;1876005;660618;937291;96670;0;15044;68572;38628;7487;5790;7599;2268;0;3870;2198;4438;2060;397;0;2293;369;6082;538;13793

08 1 11; Stuttgart, Landeshauptstadt;357410;165729;955;164774;45485;70752;23587;0;3126;10189;5949;765;810;346;184;0;639;300;370;162;50;0;104;20;712;62;1162
08 1 15; Böblingen;240307;103869;728;103141;26044;52587;10215;0;942;5816;3663;359;442;327;73;0;778;182;223;201;20;0;94;12;467;33;663
08 1 16; Esslingen;341940;149848;1062;148786;39278;72877;15233;0;1419;8082;6646;423;630;403;110;0;1202;295;269;153;30;0;123;15;588;36;974
08 1 17; Göppingen;176898;65875;541;65334;18404;32201;5451;0;586;3249;2975;141;305;168;79;0;464;153;195;116;23;0;76;13;275;16;444
08 1 18; Ludwigsburg;333531;142663;948;141715;38266;67428;13798;0;1570;7801;7292;637;564;424;125;0;1221;223;353;174;36;0;159;19;627;26;972
08 1 19; Rems-Murr-Kreis;280229;111514;706;110808;28493;53394;10640;0;1101;6576;5320;391;756;319;105;0;1531;186;267;152;30;0;101;18;535;32;861
08 1 21; Heilbronn, Stadt;77560;31912;253;31659;10246;14491;2140;0;341;1302;2124;83;146;76;25;0;139;53;86;37;1;0;29;4;140;9;187
08 1 25; Heilbronn;218132;86803;786;86017;24731;42871;5717;0;653;4228;4347;206;565;262;57;0;761;152;313;106;18;0;89;11;413;14;503
08 1 26; Hohenlohekreis;76743;31379;299;31080;7877;16293;2101;0;258;1869;1517;64;157;87;36;0;247;63;114;41;4;0;39;3;133;10;167
08 1 27; Schwäbisch Hall;132588;49858;393;49465;13940;23209;4141;0;475;2817;2420;102;513;115;46;0;753;95;138;68;8;0;35;8;236;14;332
08 1 28; Main-Tauber-Kreis;102573;44694;385;44309;9388;27296;2345;0;291;1498;1533;97;558;155;41;0;262;65;146;98;11;0;52;12;186;16;259
08 1 35; Heidenheim;96317;38225;346;37879;11847;17950;2660;0;406;1374;2130;94;368;120;43;0;274;78;57;36;2;0;38;8;173;11;210
08 1 36; Ostalbkreis;223567;86453;855;85598;21952;47729;6243;0;591;2958;3294;197;415;248;86;0;470;126;144;111;14;0;85;12;380;25;518
08 2 11; Baden-Baden, Stadt;39210;15639;112;15527;3485;8507;1429;0;204;947;419;87;50;21;12;0;55;30;35;17;0;0;4;9;73;5;138
08 2 12; Karlsruhe, Stadt;196485;79957;581;79376;23089;35346;10131;0;1629;4700;1501;294;436;148;107;0;364;120;342;70;28;0;53;19;300;23;676
08 2 15; Karlsruhe;300868;124941;1541;123400;33164;66837;8958;0;1057;5087;3266;359;409;358;121;0;954;218;446;277;37;0;135;15;551;44;1107
08 2 16; Rastatt;161569;58617;736;57881;14745;33368;3862;0;457;2044;1415;182;258;183;64;0;165;112;179;105;8;0;48;21;233;21;411
08 2 21; Heidelberg, Stadt;93568;42242;271;41971;10680;17384;8617;0;1061;2378;471;136;280;66;68;0;148;65;76;38;13;0;28;8;191;18;245
08 2 22; Mannheim, Universitätsstadt;198990;79197;708;78489;27169;34735;7080;0;1674;2905;2119;457;158;208;141;0;191;118;277;78;20;0;61;10;398;23;667
08 2 25; Neckar-Odenwald-Kreis;107647;42606;495;42111;10659;25068;2198;0;269;1241;1085;86;304;148;42;0;231;51;142;70;13;0;46;8;169;14;267
08 2 26; Rhein-Neckar-Kreis;376349;166474;1879;164595;48784;83973;13697;0;1704;7321;3565;508;661;454;171;0;661;223;561;201;33;0;168;35;601;38;1236
08 2 31; Pforzheim, Stadt;78725;28963;316;28647;7453;15387;1958;0;376;1481;949;96;66;76;38;0;193;56;66;22;4;0;21;2;118;10;275
08 2 35; Calw;106269;41042;328;40714;9670;22052;3257;0;346;2080;1374;162;206;139;37;0;545;81;136;107;11;0;36;7;177;9;282
08 2 36; Enzkreis;134177;52932;486;52446;14844;25760;4096;0;401;2642;2032;181;203;194;57;0;808;104;174;81;8;0;70;14;246;19;512
08 2 37; Freudenstadt;84226;31194;264;30930;7256;17504;2031;0;235;1524;1075;87;204;86;23;0;318;44;78;87;8;0;35;8;105;9;213
08 3 11; Freiburg im Breisgau, Stadt;136500;55792;319;55473;13554;20437;14313;0;1691;2260;815;205;532;92;132;0;220;141;76;108;16;0;25;11;319;37;489
08 3 15; Breisgau-Hochschwarzwald;173101;69512;615;68897;16810;35208;9004;0;758;3199;1126;251;407;198;60;0;441;132;118;234;9;0;61;11;280;24;566
08 3 16; Emmendingen;110914;40205;393;39812;11857;18760;4593;0;419;1610;784;109;206;101;32;0;191;73;44;411;2;0;52;2;136;13;417
08 3 17; Ortenaukreis;296305;107702;1273;106429;26875;60881;8425;0;856;3754;2210;271;379;265;119;0;426;201;190;311;18;0;81;16;445;22;684
08 3 25; Rottweil;101323;38313;366;37947;8810;21767;2343;0;239;1608;1239;110;696;116;29;0;268;59;98;105;7;0;34;11;124;9;275
08 3 26; Schwarzwald-Baar-Kreis;147242;56150;507;55643;13768;30640;4332;0;461;2684;1366;200;292;169;46;0;596;100;171;152;8;0;62;13;199;21;363
08 3 27; Tuttlingen;91894;37031;393;36638;8184;21786;2220;0;238;1858;1076;107;158;130;27;0;207;45;99;65;5;0;36;8;138;8;243
08 3 35; Konstanz;184929;70471;641;69830;17762;34807;8812;0;834;3617;1379;267;310;194;96;0;275;121;145;123;16;0;88;13;345;18;608
08 3 36; Lörrach;152044;55763;546;55217;17182;25111;6166;0;690;2320;1221;241;224;159;68;0;695;97;134;98;10;0;64;6;236;27;468
08 3 37; Waldshut;114638;42446;435;42011;10120;23118;3737;0;324;1741;1019;126;512;115;56;0;344;63;85;88;8;0;44;10;184;14;303
08 4 15; Reutlingen;189486;77540;594;76946;18374;36933;7745;0;811;7831;2489;269;326;188;79;0;574;138;203;117;9;0;59;6;290;26;479
08 4 16; Tübingen;136967;58607;318;58289;14312;23927;11275;0;1342;3321;1937;139;415;125;63;0;368;136;88;68;14;0;40;17;328;33;341
08 4 17; Zollernalbkreis;137591;47215;385;46830;11213;26377;2976;0;305;2323;1942;159;177;135;55;0;273;82;105;78;8;0;42;11;209;15;345
08 4 21; Ulm, Universitätsstadt;76646;33454;243;33211;9686;15417;4043;0;524;1497;855;110;212;66;48;0;129;83;85;37;5;0;22;9;154;17;212
08 4 25; Alb-Donau-Kreis;129124;55254;425;54829;12308;32723;3944;0;340;2011;1496;124;445;173;44;0;294;88;155;93;9;0;58;7;221;8;288
08 4 26; Biberach;130273;56988;477;56511;9388;36240;3886;0;219;1664;2912;135;632;141;54;0;157;131;151;171;16;0;56;15;227;13;303
08 4 35; Bodenseekreis;140620;58755;441;58314;13721;31365;5977;0;476;2576;1523;164;868;185;64;0;225;92;157;102;9;0;66;9;274;16;445
08 4 36; Ravensburg;187745;77454;649;76805;14996;45344;7362;0;492;2479;2181;198;1415;230;71;0;500;143;153;229;14;0;94;22;327;10;545
08 4 37; Sigmaringen;93206;37729;432;37297;6925;23697;2402;0;248;1374;1284;94;236;146;36;0;145;87;90;79;2;0;36;10;163;10;233
908; Baden-Württemberg;7266426;2949007;25426;2923581;762794;1489537;285140;0;32439;141836;97335;9473;17906;8059;3070;0;19702;5205;7534;5277;615;0;2749;518;12626;878;20888

09 1 61; Ingolstadt, Stadt;81026;27330;142;27188;5635;0;1396;17903;222;446;647;47;406;42;17;75;49;24;45;11;3;0;20;3;77;6;114
09 1 62; München, Landeshauptstadt;824492;486006;3914;482092;140112;0;57282;233292;7116;15145;8365;2345;5577;871;623;1687;386;833;662;462;158;0;882;48;1830;347;4069
09 1 63; Rosenheim, Stadt;40238;15726;84;15642;2719;0;1047;9937;117;330;809;41;209;23;18;117;25;29;35;29;5;0;13;0;45;6;88
09 1 71; Altötting;80386;34458;157;34301;5283;0;1193;25051;154;507;911;58;409;55;17;158;27;43;63;51;28;0;44;4;72;9;164
09 1 72; Berchtesgadener Land;71607;31418;133;31285;4604;0;1490;22777;156;389;688;51;489;38;23;110;73;20;47;54;10;0;23;2;51;4;186
09 1 73; Bad Tölz-Wolfratshausen;83226;39359;151;39208;5150;0;2490;28918;189;757;452;89;385;62;23;180;21;54;47;40;5;0;32;7;88;8;211
09 1 74; Dachau;89959;40863;167;40696;7014;0;2448;27755;265;690;1047;90;552;69;24;158;28;55;41;36;8;0;54;4;99;18;241
09 1 75; Ebersberg;84089;41045;142;40903;7404;0;3238;26784;310;1037;615;114;538;63;36;174;40;51;39;42;7;0;50;7;90;20;244
09 1 76; Eichstätt;84439;40108;172;39936;7497;0;1475;28647;168;399;489;49;535;62;22;134;36;51;52;48;6;0;34;2;73;8;149
09 1 77; Erding;80456;34644;139;34505;5001;0;1782;23549;201;518;1675;54;1008;54;20;197;22;28;20;49;6;0;42;3;73;10;193
09 1 78; Freising;102276;44644;155;44489;7125;0;3180;30307;303;819;629;113;968;89;28;219;67;53;92;43;5;0;44;7;122;14;262
09 1 79; Fürstenfeldbruck;140947;69659;275;69384;14767;0;5978;42130;482;1710;1738;211;855;120;53;271;87;109;62;82;8;0;78;12;163;23;445
09 1 80; Garmisch-Partenkirchen;63621;29542;127;29415;3148;0;1235;22867;115;541;295;55;601;23;19;110;31;43;25;30;3;0;17;3;55;12;187
09 1 81; Landsberg a. Lech;75210;34592;145;34447;5493;0;2489;23414;207;635;537;68;570;56;25;346;96;44;37;56;5;0;30;4;123;9;203
09 1 82; Miesbach;66501;30747;108;30639;4550;0;1534;22380;112;621;428;76;302;42;18;127;24;36;41;34;4;0;25;3;76;12;194
09 1 83; Mühldorf a. Inn;79910;32926;145;32781;4320;0;1263;24640;136;384;847;43;350;70;20;234;43;42;35;53;9;0;30;5;64;8;185
09 1 84; München;207392;103764;388;103376;22137;0;8841;62520;855;3736;1305;306;1444;149;65;387;72;125;157;95;28;0;159;5;245;35;710
09 1 85; Neuburg-Schrobenhausen;65345;27762;116;27646;5010;0;871;20304;96;260;428;27;201;46;16;89;33;31;38;16;4;0;16;2;49;4;105
09 1 86; Pfaffenhofen a.d. Ilm;79849;33991;121;33870;5935;0;1469;24134;192;463;494;41;453;69;14;122;72;37;73;33;2;0;21;6;83;13;144
09 1 87; Rosenheim;167656;76752;302;76450;10298;0;4243;54861;368;1303;2110;147;1311;114;39;441;77;130;124;83;21;0;79;6;187;26;482
09 1 88; Starnberg;90024;44843;135;44708;7407;0;4505;28144;304;2060;623;123;644;57;27;165;30;83;57;46;8;0;40;2;103;15;265
09 1 89; Traunstein;124393;54644;202;54442;8726;0;2869;38644;231;708;874;82;829;40;33;635;89;50;51;112;28;0;37;1;118;12;273
09 1 90; Weilheim-Schongau;91623;41739;177;41562;7393;0;2443;28393;245;619;716;105;645;57;29;244;82;50;61;46;9;0;35;2;106;10;272
09 2 61; Landshut, Stadt;44547;18244;108;18136;3240;0;1131;12360;109;296;232;80;274;42;21;63;17;18;41;23;5;0;17;4;50;2;111
09 2 62; Passau, Stadt;38289;14472;68;14404;2708;0;910;9223;119;435;295;39;451;23;22;32;7;13;22;14;2;0;3;2;22;3;59
09 2 63; Straubing, Stadt;33166;11878;75;11803;1964;0;296;8617;69;117;195;25;312;12;12;39;19;6;40;3;0;0;10;0;17;1;49
09 2 71; Deggendorf;86420;29103;136;28967;4699;0;893;21058;111;300;752;44;481;47;20;128;59;26;61;39;5;0;20;1;75;3;145
09 2 72; Freyung-Grafenau;63107;19919;111;19808;4018;0;463;13734;52;186;344;35;392;38;12;291;29;18;18;28;1;0;15;2;37;0;95
09 2 73; Kelheim;79441;33772;208;33564;6245;0;1232;23845;173;366;541;50;462;67;23;131;18;49;72;40;1;0;20;2;88;6;133
09 2 74; Landshut;103526;44503;187;44316;6328;0;1625;33121;207;565;742;65;747;90;23;198;45;47;85;43;5;0;41;1;101;10;227
09 2 75; Passau;140707;49310;320;48990;9167;0;1433;34467;178;534;1004;66;1216;95;31;178;37;49;109;47;8;0;30;4;112;7;218
09 2 76; Regen;63436;19073;83;18990;3412;0;483;13772;62;157;450;27;289;37;10;80;28;38;25;11;3;0;6;1;24;2;73
09 2 77; Rottal-Inn;88725;31461;175;31286;4240;0;910;23777;123;315;518;49;708;57;18;178;27;19;79;57;5;0;34;3;51;5;113
09 2 78; Straubing-Bogen;70374;30177;158;30019;3870;0;513;23222;76;280;473;30;973;48;13;167;20;26;97;19;6;0;21;4;42;2;117
09 2 79; Dingolfing-Landau;67167;26740;166;26574;4179;0;588;19819;93;291;473;39;608;62;15;120;19;24;43;16;11;0;26;3;42;5;98
09 3 61; Amberg, Stadt;33170;13134;93;13041;3247;0;553;8339;77;174;158;49;174;23;7;35;24;9;21;22;3;0;12;5;30;3;76
09 3 62; Regensburg, Stadt;94794;48761;437;48324;10769;0;4663;28412;655;932;709;125;879;107;60;176;65;135;77;42;16;0;29;3;168;18;284
09 3 63; Weiden i.d. OPf., Stadt;33698;13546;82;13464;3525;0;476;8631;125;175;117;16;109;19;12;43;21;19;25;18;1;0;15;2;29;7;79
09 3 71; Amberg-Sulzbach;81164;36097;213;35884;9193;0;1061;23393;167;421;444;40;484;84;20;105;71;44;53;35;10;0;38;1;80;11;129
09 3 72; Cham;99587;36552;224;36328;5661;0;887;27592;106;304;473;54;286;58;23;265;69;191;53;45;3;0;24;1;60;9;164
09 3 73; Neumarkt i.d. OPf.;91508;44488;217;44271;6866;0;1537;33238;191;420;480;67;582;88;25;111;80;53;135;66;4;0;31;4;102;7;184
09 3 74; Neustadt a.d. Waldnaab;75845;34823;205;34618;9137;0;765;23015;112;353;362;36;269;91;29;110;30;32;57;32;3;0;19;4;56;6;100
09 3 75; Regensburg;130672;58080;263;57817;11447;0;2555;39647;265;662;1230;77;868;135;32;213;64;69;67;60;19;0;29;4;128;8;238
09 3 76; Schwandorf;110959;47945;330;47615;11999;0;1111;32020;214;294;554;66;613;85;27;121;34;46;80;38;2;0;34;3;87;10;177
09 3 77; Tirschenreuth;62522;28591;170;28421;6463;0;587;20109;80;244;307;32;153;54;29;86;14;19;47;34;1;0;17;2;35;3;105
09 4 61; Bamberg, Stadt;52340;22090;106;21984;4157;0;2137;13815;210;453;342;51;335;44;23;70;48;23;45;18;5;0;21;4;60;7;116
09 4 62; Bayreuth, Stadt;56907;23027;108;22919;5758;0;1656;13361;249;719;340;65;291;47;24;52;52;16;76;18;0;0;8;0;63;12;112
09 4 63; Coburg, Stadt;33163;13673;61;13612;4012;0;774;7676;139;378;133;16;155;26;11;30;21;12;69;6;1;0;6;1;52;11;83
09 4 64; Hof, Stadt;38418;13264;73;13191;3559;0;491;8155;94;140;283;23;69;27;20;32;124;11;27;14;0;0;6;2;26;5;83
09 4 71; Bamberg;106264;47818;195;47623;8144;0;1795;34561;162;563;816;52;423;127;25;257;132;43;93;58;6;0;30;4;134;15;183
09 4 72; Bayreuth;84045;36986;152;36834;9070;0;1204;24260;141;486;606;48;311;81;30;108;73;27;86;25;4;0;25;1;79;8;161
09 4 73; Coburg;70712;30003;141;29862;10032;0;1143;16896;181;419;352;40;187;67;30;61;48;26;141;14;5;0;19;4;63;6;128
09 4 74; Forchheim;83127;38666;139;38527;7647;0;1941;26053;211;606;934;61;282;98;31;107;120;26;51;46;6;0;35;1;85;8;178
09 4 75; Hof;86342;35220;179;35041;10543;0;948;21280;235;304;548;51;178;93;33;97;386;19;39;25;3;0;41;2;57;4;155
09 4 76; Kronach;60614;26270;186;26084;8096;0;553;16325;83;224;243;17;78;58;13;44;82;16;43;24;2;0;17;5;50;4;107
09 4 77; Kulmbach;62285;25965;130;25835;7970;0;891;15221;147;315;533;39;173;79;26;53;48;22;97;22;1;0;13;3;48;4;130
09 4 78; Lichtenfels;54499;23654;108;23546;5480;0;683;16173;86;216;242;40;122;63;12;76;51;28;83;18;7;0;20;2;38;5;101
09 4 79; Wunsiedel i. Fichtelgebirge;68680;27627;212;27415;9164;0;767;15868;145;227;420;41;113;67;30;83;94;14;99;28;10;0;22;5;49;5;164
09 5 61; Ansbach, Stadt;30162;12068;64;12004;3107;0;909;6917;110;214;129;37;264;19;17;23;82;10;25;14;0;0;18;1;33;4;71
09 5 62; Erlangen, Stadt;72211;33287;128;33159;9050;0;3850;16940;499;1208;237;107;506;52;41;55;111;40;86;30;4;0;25;8;124;13;173
09 5 63; Fürth, Stadt;78235;30513;163;30350;9633;0;2176;15917;412;581;651;93;159;39;35;57;98;43;98;20;2;0;30;3;81;12;210
09 5 64; Nürnberg, Stadt;337522;145137;826;144311;42843;0;11843;76859;2260;2790;2479;453;1028;292;195;287;401;194;582;102;31;0;113;16;491;65;987
09 5 65; Schwabach, Stadt;28128;11705;52;11653;3293;0;837;6630;87;246;158;41;96;23;10;18;50;13;23;9;4;0;9;2;29;2;73
09 5 71; Ansbach;133963;57530;278;57252;12281;0;3274;37231;286;896;955;89;749;121;52;147;455;56;147;64;4;0;30;5;132;18;260
09 5 72; Erlangen-Höchstadt;94001;44195;177;44018;11255;0;3314;26229;287;1025;515;79;386;108;36;89;120;27;99;42;7;0;45;4;124;15;212
09 5 73; Fürth;84623;39050;142;38908;11724;0;2360;21711;288;727;778;93;266;98;29;79;200;38;91;28;3;0;27;3;110;9;246
09 5 74; Nürnberger Land;125134;56759;213;56546;16397;0;3859;32130;391;1008;883;115;381;123;38;122;265;66;151;66;9;0;40;5;154;12;331
09 5 75; Neustadt a.d. Aisch-Bad Windsheim;74022;32778;168;32610;7671;0;1578;20849;175;596;496;43;476;76;28;61;116;26;137;40;3;0;23;1;70;5;140
09 5 76; Roth;91672;41296;208;41088;9657;0;2057;26919;233;525;451;79;306;75;25;80;118;45;72;35;8;0;41;1;116;7;238
09 5 77; Weißenburg-Gunzenhausen;71459;31131;176;30955;7119;0;1461;20461;105;442;393;38;323;56;21;68;112;38;60;23;8;0;27;3;73;6;118
09 6 61; Aschaffenburg, Stadt;47898;19193;202;18991;4312;0;1368;11500;237;469;457;47;164;33;18;33;17;25;73;27;3;0;15;2;72;4;115
09 6 62; Schweinfurt, Stadt;40016;16946;135;16811;4995;0;755;9432;159;263;660;50;132;40;23;24;50;23;46;17;2;0;11;1;29;3;96
09 6 63; Würzburg, Stadt;94037;40919;268;40651;8680;0;4587;22835;458;1151;1121;158;737;105;71;68;104;44;38;40;5;0;29;4;152;20;244
09 6 71; Aschaffenburg;128179;58426;574;57852;12629;0;3032;37532;347;1079;1328;124;433;171;67;98;58;82;166;95;6;0;44;9;184;14;354
09 6 72; Bad Kissingen;85068;39147;221;38926;6650;0;1552;27496;185;537;1262;76;352;120;33;79;96;33;64;62;6;0;27;5;101;5;185
09 6 73; Rhön-Grabfeld;64953;29823;161;29662;4752;0;1184;21885;143;424;524;42;169;74;27;53;53;35;47;41;0;0;21;0;82;11;95
09 6 74; Haßberge;67165;30913;196;30717;7177;0;1164;20085;128;527;542;41;412;79;27;74;65;31;110;28;3;0;20;4;88;6;106
09 6 75; Kitzingen;66121;27954;146;27808;5754;0;1271;18373;118;515;625;57;373;71;32;59;81;30;126;46;3;0;31;4;72;9;158
09 6 76; Miltenberg;92682;41419;360;41059;8847;0;1821;27150;222;808;762;73;457;107;32;89;39;62;172;38;8;0;32;7;122;5;206
09 6 77; Main-Spessart;100375;42463;259;42204;8963;0;2101;27906;193;651;858;85;589;103;30;100;126;55;68;46;6;0;31;3;96;9;185
09 6 78; Schweinfurt;88446;42110;283;41827;8198;0;1936;28458;195;576;1129;68;375;108;25;91;98;54;83;86;3;0;40;9;113;10;172
09 6 79; Würzburg;119127;55892;309;55583;12768;0;3786;34303;341;1017;1369;142;732;148;51;105;111;64;68;53;5;0;48;4;160;16;292
09 7 61; Augsburg, Stadt;176177;73382;381;73001;17335;0;5254;43772;865;1213;1868;182;707;127;71;253;131;96;194;96;13;0;56;7;238;29;494
09 7 62; Kaufbeuren, Stadt;31002;12871;52;12819;2251;0;605;8640;79;216;419;31;151;28;11;88;36;15;89;29;3;0;3;0;49;4;72
09 7 63; Kempten (Allgäu), Stadt;45530;18601;87;18514;3867;0;1022;11643;115;394;627;47;341;31;16;61;42;18;17;75;3;0;8;4;56;9;118
09 7 64; Memmingen, Stadt;29267;12266;63;12203;2575;0;667;7656;63;236;238;29;380;17;12;35;52;12;42;23;2;0;11;0;42;1;110
09 7 71; Aichach-Friedberg;88953;38748;117;38631;6148;0;1992;27238;184;619;1102;58;498;76;31;134;43;45;50;59;3;0;29;1;103;12;206
09 7 72; Augsburg;170562;74966;301;74665;13882;0;3750;51091;390;1191;1781;122;798;161;45;242;104;88;137;93;19;0;71;9;202;15;474
09 7 73; Dillingen a.d. Donau;68454;30043;214;29829;5054;0;1060;21134;101;494;1001;34;292;88;23;109;18;32;50;45;9;0;23;5;91;6;160
09 7 74; Günzburg;86124;34094;164;33930;5337;0;1152;24569;153;467;998;60;361;74;38;115;66;78;57;58;6;0;37;1;120;11;172
09 7 75; Neu-Ulm;113239;43268;209;43059;9358;0;2546;27279;316;961;923;96;412;110;40;136;123;61;119;67;19;0;61;4;132;17;279
09 7 76; Lindau (Bodensee);54634;23675;111;23564;4400;0;1679;15315;169;496;356;66;418;52;32;69;96;26;38;72;10;0;25;1;74;7;163
09 7 77; Ostallgäu;95604;41843;185;41658;5744;0;1878;30175;158;594;671;65;592;70;22;1009;59;52;129;99;7;0;31;5;106;6;186
09 7 78; Unterallgäu;98356;41988;176;41812;5155;0;1443;31657;149;567;683;71;1092;91;29;154;98;28;113;131;27;0;39;1;102;7;175
09 7 79; Donau-Ries;95254;43520;176;43344;8116;0;1675;30761;150;498;819;60;466;83;23;106;104;33;66;50;8;0;32;6;103;7;178
09 7 80; Oberallgäu;108785;48770;186;48584;7149;0;2567;34923;182;815;944;85;699;107;50;160;78;65;48;176;8;0;43;5;128;16;336
909; Bayern;8902025;3990183;21547;3968636;856863;0;243781;2540007;28924;73984;74559;9226;50400;7866;3407;14950;7662;5037;7941;4724;804;0;3805;381;10586;1278;22451

10 0 41; Stadtverband Saarbrücken;266820;144090;3850;140240;56724;60229;9240;0;1951;3882;2927;619;336;749;166;0;74;179;521;209;13;875;149;25;411;55;906
10 0 42; Merzig-Wadern;82111;55372;2351;53021;21642;25217;2034;0;330;964;675;153;167;387;56;0;52;74;158;168;7;334;77;16;128;16;366
10 0 43; Neunkirchen;115986;69829;2345;67484;31336;27897;2778;0;699;1201;1052;234;103;476;69;0;43;63;146;108;10;531;96;15;171;13;443
10 0 44; Saarlouis;162414;100577;3618;96959;40692;44183;4211;0;838;1745;1507;312;246;550;126;0;57;131;320;257;11;695;110;21;258;25;664
