# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
03 3 52; Cuxhaven;157327;68991;604;68387;27662;33097;3518;0;662;1456;590;161;69;159;64;0;65;76;204;23;10;0;57;6;153;15;340
03 3 53; Harburg;175269;78202;527;77675;26008;39392;5397;0;974;2782;932;296;90;290;49;0;231;106;286;53;15;0;71;11;166;21;505
03 3 54; Lüchow-Dannenberg;41463;17621;170;17451;5270;8297;2482;0;301;413;209;51;14;56;41;0;47;25;61;11;6;0;18;0;33;6;110
03 3 55; Lüneburg;124626;51492;314;51178;18722;23079;4920;0;1037;1686;401;194;55;115;54;0;82;74;243;25;10;0;36;7;120;24;294
03 3 56; Osterholz;84076;37731;245;37486;16088;15352;3213;0;503;988;396;121;47;110;35;0;89;46;102;22;8;0;43;3;89;8;223
03 3 57; Rotenburg (Wümme);120501;52445;322;52123;18389;27617;3005;0;456;1143;377;103;44;154;49;0;156;55;152;40;20;0;41;5;123;12;182
03 3 58; Soltau-Fallingbostel;105385;46023;360;45663;17387;22804;2093;0;379;1127;708;131;71;154;41;0;208;38;139;30;11;0;33;4;104;8;193
03 3 59; Stade;144541;61750;775;60975;23576;29566;3574;0;875;1564;526;213;51;135;48;0;108;43;223;24;10;0;46;5;132;17;239
03 3 60; Uelzen;77120;35703;284;35419;13514;16929;2241;0;389;818;422;145;54;94;59;0;186;47;137;19;3;0;30;6;105;10;211
03 3 61; Verden;99401;45793;369;45424;19103;19259;3548;0;539;1372;450;163;65;129;49;0;109;62;135;18;1;0;30;4;127;18;243
03 4 01; Delmenhorst, Stadt;57766;21498;175;21323;10067;8497;1171;0;247;561;216;172;23;61;29;0;10;19;55;18;5;0;17;1;36;4;114
03 4 02; Emden, Stadt;38857;13000;151;12849;7124;3980;843;0;226;300;100;36;10;22;15;0;35;9;28;15;6;0;7;3;27;3;60
03 4 03; Oldenburg (Oldenburg), Stadt;118019;46391;302;46089;17731;17862;6063;0;1461;1551;221;174;82;86;88;0;60;74;127;40;11;0;22;9;181;15;231
03 4 04; Osnabrück, Stadt;119519;55099;350;54749;18563;26610;5359;0;915;1763;337;187;147;110;68;0;50;73;93;33;5;0;28;21;135;23;229
03 4 05; Wilhelmshaven, Stadt;68216;27304;277;27027;12405;11174;1180;0;386;681;579;88;20;63;51;0;19;51;57;7;2;0;15;2;86;9;152
03 4 51; Ammerland;83106;30965;232;30733;12367;14161;1753;0;329;1280;198;80;30;64;29;0;37;52;81;11;6;0;18;3;82;4;148
03 4 52; Aurich;142635;62835;1129;61706;34521;20402;3098;0;686;1170;418;168;46;168;63;0;167;65;101;44;17;0;37;7;150;15;363
03 4 53; Cloppenburg;105447;44824;424;44400;8829;32733;1030;0;228;827;218;42;27;84;26;0;25;37;43;33;3;0;19;11;64;10;111
