# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
03 1 52;Göttingen;198129;81503;1226;80277;31158;21966;0;15684;1996;4593;412;650;802;855;212;149;165;137;0;42;57;484;294;153;81;170;157;60
03 1 53;Goslar;120251;44924;821;44103;19609;13750;0;3959;948;2722;550;494;409;540;119;58;138;38;0;21;24;272;173;88;42;26;93;30
03 1 54;Helmstedt;77753;30180;507;29673;13260;9694;0;2245;537;1579;208;393;262;692;101;31;78;40;0;18;26;201;118;46;34;23;72;15
03 1 55;Northeim;117172;48111;1110;47001;19123;17239;0;3837;788;3081;477;465;396;313;147;52;102;64;0;33;24;338;226;72;53;40;108;23
03 1 56;Osterode am Harz;67259;24456;516;23940;10313;8368;0;1744;402;1383;238;295;255;222;88;29;68;26;0;13;23;190;111;27;29;21;72;23
03 1 57;Peine;103100;41107;667;40440;16528;14669;0;3636;690;2073;544;446;438;245;134;37;138;47;0;19;33;301;166;74;42;38;115;27
03 1 58;Wolfenbüttel;98992;43154;659;42495;18553;13249;0;4393;780;2351;575;610;400;380;156;58;115;60;0;24;42;308;180;53;46;33;108;21
03 2 41;Region Hannover;837141;357873;5614;352259;134929;105746;0;56166;7860;24027;3009;3470;4500;2783;1039;572;1167;426;0;281;214;2126;1430;631;318;460;848;257
03 2 51;Diepholz;166243;61131;753;60378;25790;15892;0;7742;974;6041;451;590;650;351;220;90;349;72;0;24;29;442;246;120;72;50;154;29
03 2 52;Hameln-Pyrmont;123798;47729;753;46976;20227;14638;0;4830;807;3016;523;507;509;336;190;58;146;60;0;34;47;330;360;86;57;32;156;27
03 2 54;Hildesheim;224077;96328;1781;94547;41950;30109;0;10372;1641;4695;917;826;817;591;305;146;382;141;0;45;71;560;345;171;76;71;253;63
03 2 55;Holzminden;62697;30553;1031;29522;12214;11103;0;2207;321;1984;213;230;232;293;102;32;112;33;0;8;22;152;117;32;25;16;47;27
03 2 56;Nienburg (Weser);96827;34025;436;33589;15807;9802;0;3220;456;2039;355;279;258;194;113;42;70;43;0;17;25;238;178;253;28;32;121;19
03 2 57;Schaumburg;127292;50471;815;49656;20723;16638;0;5123;695;2897;576;523;456;377;169;76;250;96;0;26;31;361;290;93;54;36;133;33
03 3 51;Celle;140016;52289;597;51692;25058;12133;0;5224;1208;3821;1448;525;495;273;169;84;238;80;0;33;34;305;177;92;47;50;162;36
03 3 52;Cuxhaven;160317;55403;766;54637;26375;14945;0;5676;758;3151;440;566;752;374;193;51;115;54;0;35;45;393;179;97;67;53;280;38
03 3 53;Harburg;183389;73902;998;72904;34357;16105;0;10647;1191;5659;466;711;1005;607;233;154;252;93;0;53;43;523;251;156;72;54;229;43
03 3 54;Lüchow-Dannenberg;41242;16435;303;16132;6720;2944;0;4327;354;771;123;147;185;85;48;22;82;9;0;7;6;87;52;20;27;20;63;33
03 3 55;Lüneburg;132617;53896;722;53174;20488;12730;0;11178;1389;3750;353;583;561;588;181;108;143;50;0;33;47;426;185;113;63;63;101;41
03 3 56;Osterholz;87211;33872;413;33459;12695;9688;0;5431;654;2314;432;445;522;212;140;50;153;29;0;25;15;250;123;58;41;46;108;28
03 3 57;Rotenburg (Wümme);125079;50379;579;49800;25265;11493;0;5652;600;3787;310;395;329;365;172;53;317;58;0;34;30;367;175;74;58;37;193;36
03 3 58;Soltau-Fallingbostel;108857;41059;530;40529;19826;10372;0;4082;627;2378;672;459;375;355;156;62;230;49;0;18;27;331;173;90;47;29;136;35
03 3 59;Stade;149663;58175;984;57191;26582;15416;0;6793;824;3917;331;494;696;577;186;66;141;55;0;34;37;402;242;94;52;39;185;28
03 3 60;Uelzen;77360;29777;412;29365;13977;7437;0;4272;462;1526;228;263;268;172;90;44;75;36;0;16;24;175;118;42;30;25;67;18
03 3 61;Verden;102027;39390;381;39009;15631;10904;0;5959;846;2689;321;432;456;496;137;57;255;34;0;13;19;292;154;87;28;17;163;19
03 4 01;Delmenhorst, Stadt;57441;17710;344;17366;6963;5430;0;1962;428;1123;209;222;334;114;72;42;29;38;0;11;14;132;97;32;26;35;42;11
03 4 02;Emden, Stadt;38774;12173;301;11872;3226;5288;0;1431;238;947;88;138;100;60;39;21;55;12;0;11;6;64;62;17;12;32;18;7
03 4 03;Oldenburg (Oldenburg), Stadt;120562;45236;607;44629;14278;11639;0;11314;1676;3327;153;402;372;213;155;74;83;54;0;39;41;278;173;95;40;104;73;46
03 4 04;Osnabrück, Stadt;119389;50966;545;50421;22233;12212;0;9358;926;3177;206;397;487;231;154;97;114;42;0;26;43;203;142;89;49;92;102;41
03 4 05;Wilhelmshaven, Stadt;66316;22380;535;21845;8825;6916;0;1979;530;1730;257;303;370;126;112;25;40;26;0;14;19;167;121;50;29;29;151;26
03 4 51;Ammerland;88126;31573;507;31066;13949;8158;0;3849;442;2872;199;272;231;209;114;43;40;35;0;18;24;259;136;70;34;27;65;20
03 4 52;Aurich;147023;50874;1636;49238;17485;20122;0;4789;833;2586;539;657;489;238;219;54;124;71;0;29;42;396;217;75;65;58;102;48
03 4 53;Cloppenburg;110904;43055;586;42469;31149;5200;0;1994;320;2292;167;214;196;113;102;24;50;76;0;11;35;213;118;40;40;12;82;21
03 4 54;Emsland;227465;101522;1288;100234;72378;14088;0;5250;723;4037;432;554;493;269;265;79;102;111;0;31;83;603;246;109;82;83;169;47
03 4 55;Friesland;79370;29741;868;28873;11712;9110;0;2924;421;2625;256;353;318;184;128;31;76;35;0;13;26;284;130;72;35;37;81;22
03 4 56;Grafschaft Bentheim;94831;45758;803;44955;26066;11631;0;3274;329;1738;156;283;219;194;122;99;104;56;0;15;26;246;131;56;42;82;62;24
03 4 57;Leer;124771;42562;970;41592;17525;14675;0;3582;614;2102;368;457;418;274;177;47;402;112;0;21;20;267;228;65;44;50;106;38
03 4 58;Oldenburg;94600;37336;470;36866;15959;9528;0;4741;603;3683;239;394;432;196;148;72;98;47;0;15;29;308;128;63;58;38;69;18
03 4 59;Osnabrück;266235;120354;1520;118834;67760;27435;0;10771;1154;6124;549;899;731;641;346;143;298;140;0;51;105;709;368;146;99;102;201;62
03 4 60;Vechta;92422;45527;725;44802;32448;5325;0;2319;247;2900;221;238;168;100;120;27;29;63;0;16;48;224;83;59;31;16;103;17
03 4 61;Wesermarsch;71512;24274;487;23787;9329;8064;0;2420;406;1953;199;232;301;184;105;31;26;23;0;12;14;203;101;55;33;20;54;22
03 4 62;Wittmund;44529;14672;334;14338;6880;4360;0;1126;210;933;81;152;125;83;47;19;19;8;0;9;5;100;72;26;20;16;36;11
903;Niedersachsen;6064221;2433375;39038;2394337;1089566;666555;0;290271;42385;151518;21986;23213;24143;17220;7978;3391;7838;3042;0;1359;1742;15799;9374;4242;2409;2546;6130;1630

04 0 11;Bremen, Stadt;399189;152371;2041;150330;41300;44810;0;36105;5816;9292;1251;2117;3447;1003;830;205;620;148;0;101;102;750;778;271;205;374;645;160
04 0 12;Bremerhaven, Stadt;86274;28737;537;28200;8615;9585;0;3709;811;1968;311;551;1011;480;184;17;145;21;0;19;26;226;174;39;45;41;198;24
904;Bremen;485463;181108;2578;178530;49915;54395;0;39814;6627;11260;1562;2668;4458;1483;1014;222;765;169;0;120;128;976;952;310;250;415;843;184

05 1 11;Düsseldorf, Stadt;408041;170620;1841;168779;69520;38891;0;27346;3930;16679;2756;1786;3000;539;633;329;311;157;0;140;170;889;576;331;121;333;243;99
05 1 12;Duisburg, Stadt;354684;125411;3180;122231;40846;43572;0;13732;5288;6545;2282;1853;2593;1093;685;159;227;157;0;101;169;1077;758;274;148;211;295;166
05 1 13;Essen, Stadt;443351;169869;3156;166713;63382;49764;0;23484;4612;10217;2864;2532;2971;1057;902;273;299;217;0;132;282;1379;807;309;224;577;274;155
05 1 14;Krefeld, Stadt;167339;68151;1119;67032;29794;15640;0;9067;1425;6006;779;849;1230;262;268;102;127;109;0;46;99;462;289;115;83;88;126;66
05 1 16;Mönchengladbach, Stadt;195194;64763;953;63810;31793;12603;0;7412;1302;6135;540;769;903;497;280;116;115;71;0;35;83;440;289;119;56;50;173;29
05 1 17;Mülheim an der Ruhr, Stadt;130539;52716;1121;51595;19070;16384;0;6744;1277;3975;412;712;970;376;225;77;110;61;0;26;96;459;195;115;71;89;105;46
05 1 19;Oberhausen, Stadt;161859;52753;1298;51455;17731;18512;0;5714;1885;2669;746;812;1087;569;264;85;82;58;0;20;93;432;260;101;63;73;144;55
05 1 20;Remscheid, Stadt;83581;30254;594;29660;12630;7640;0;3176;671;2947;487;423;456;176;142;63;95;45;0;11;43;249;187;47;32;41;78;21
05 1 22;Solingen, Stadt;115176;46047;776;45271;19462;10939;0;5543;1123;4688;497;522;661;312;178;118;189;62;0;32;52;338;205;83;41;70;118;38
05 1 24;Wuppertal, Stadt;256119;100048;1934;98114;36958;25044;0;15420;3115;8505;2172;1332;1839;550;384;159;350;138;0;58;145;692;453;213;125;180;202;80
05 1 54;Kleve;221746;94883;1555;93328;52842;18722;0;8135;1301;7245;492;907;887;365;328;193;109;92;0;41;118;718;285;173;94;70;142;69
05 1 58;Mettmann;374982;160886;2206;158680;71511;38190;0;18752;3203;15145;1787;1774;2514;975;718;242;527;209;0;101;223;1098;634;355;153;199;288;82
05 1 62;Rhein-Kreis Neuss;328533;142791;1760;141031;71593;29026;0;14599;2173;13655;1787;1497;1687;585;631;174;168;186;0;78;773;1083;482;311;98;137;227;81
05 1 66;Viersen;224765;95413;1583;93830;48194;18485;0;10361;1407;9139;775;1298;1148;390;410;108;190;74;0;41;117;808;332;179;90;55;169;60
05 1 70;Wesel;357708;146796;2639;144157;61591;44034;0;15595;3051;9744;1273;1753;2107;903;739;203;240;164;0;104;197;989;665;233;126;113;222;111
05 3 13;Aachen, Stadt;173019;80573;1200;79373;32470;16893;0;17766;1922;6356;441;694;824;310;217;202;71;81;0;36;73;331;205;125;50;90;159;57
05 3 14;Bonn, Stadt;210108;104341;1336;103005;42057;19784;0;23207;2265;10592;496;968;950;293;324;193;285;114;0;57;130;390;344;153;66;110;170;57
05 3 15;Köln, Stadt;673585;270101;1666;268435;92349;64006;0;63241;8191;23102;2222;2426;4820;1737;1124;556;400;311;0;190;279;1027;833;545;212;348;345;171
05 3 16;Leverkusen, Stadt;117295;42937;625;42312;18093;11235;0;5423;851;3336;460;535;834;273;214;69;95;58;0;30;54;296;186;69;33;43;94;31
05 3 54;Aachen;225569;94513;2576;91937;42050;26298;0;8593;1534;6125;1555;1210;1190;684;507;147;98;97;0;62;114;733;356;163;92;86;159;84
05 3 58;Düren;197858;81153;1945;79208;40037;19806;0;7177;1254;5035;722;1159;1136;477;307;112;198;122;0;50;82;662;330;161;68;92;174;47
05 3 62;Rhein-Erft-Kreis;335679;140286;2635;137651;60205;36737;0;15979;2260;12411;1228;1838;2410;860;591;249;140;149;0;63;142;954;545;281;140;100;283;86
05 3 66;Euskirchen;146008;59492;1225;58267;31312;10884;0;5738;885;5288;544;780;684;290;271;102;104;129;0;33;65;471;248;179;67;43;112;38
05 3 70;Heinsberg;183895;75811;1926;73885;41539;14738;0;5714;1070;5734;759;810;853;447;372;95;136;110;0;46;81;603;274;141;82;65;157;59
05 3 74;Oberbergischer Kreis;211720;87529;1348;86181;43176;19718;0;9122;1308;6779;742;932;942;494;295;213;434;242;0;41;102;619;355;161;84;132;237;53
05 3 78;Rheinisch-Bergischer Kreis;212235;99215;1029;98186;44828;20982;0;14177;1573;10229;771;1094;1296;451;404;178;401;163;0;61;92;652;300;193;72;93;140;36
05 3 82;Rhein-Sieg-Kreis;431224;194132;2360;191772;93355;39326;0;26298;3234;17910;1227;2126;2187;998;720;347;509;244;0;82;241;1047;896;361;138;114;316;96
05 5 12;Bottrop, Stadt;91350;37062;1000;36062;13790;12612;0;3149;842;1747;660;536;503;245;200;572;32;37;0;21;50;353;175;62;43;325;77;31
05 5 13;Gelsenkirchen, Stadt;195849;66964;1961;65003;22151;23882;0;5919;2044;3224;1955;1026;1360;720;429;90;153;155;0;56;107;658;436;144;80;138;203;73
05 5 15;Münster, Stadt;203203;101049;938;100111;42145;19621;0;23635;1957;7937;524;687;910;358;312;534;71;98;0;30;142;428;223;172;68;104;103;52
05 5 54;Borken;264510;115217;1247;113970;71320;20202;0;9145;1074;6812;814;808;701;374;433;140;130;148;0;31;195;737;303;206;72;128;144;53
05 5 58;Coesfeld;164768;76542;908;75634;42828;13824;0;8553;928;5601;502;615;598;233;226;216;59;92;0;19;113;601;241;114;51;43;131;46
05 5 62;Recklinghausen;491555;192016;3728;188288;75909;62025;0;18370;4828;10725;3354;2569;2791;1249;1023;246;348;313;0;135;262;1671;891;381;203;333;490;172
05 5 66;Steinfurt;327325;142083;1840;140243;74043;34605;0;13874;1705;9177;867;1071;1079;628;477;170;162;96;0;46;253;957;400;188;89;83;213;60
05 5 70;Warendorf;207964;94176;1315;92861;50772;19739;0;9180;1115;6657;928;812;761;413;370;160;95;158;0;29;140;670;309;203;96;62;156;36
05 7 11;Bielefeld, Stadt;239975;107574;1786;105788;41052;28156;0;20352;2860;6497;752;1016;1210;733;373;180;444;159;0;63;77;580;486;181;82;139;291;105
05 7 54;Gütersloh;255193;106905;1450;105455;55593;22548;0;12301;1355;7185;756;880;1062;644;393;342;327;169;0;38;122;705;438;158;97;69;213;60
05 7 58;Herford;195282;72978;1134;71844;31551;22374;0;7346;1257;4596;873;638;675;423;250;71;248;152;0;38;77;436;366;127;61;45;182;58
05 7 62;Höxter;117335;52369;920;51449;32266;9198;0;3342;526;3044;453;315;319;286;195;172;111;115;0;14;63;489;237;87;42;33;113;29
05 7 66;Lippe;276085;116180;2182;113998;48144;35153;0;12636;2026;7829;1136;991;966;617;430;177;1464;177;0;59;88;774;539;221;84;91;298;98
05 7 70;Minden-Lübbecke;247334;97785;1657;96128;40929;29671;0;9438;1377;7762;1618;806;790;504;357;215;637;120;0;57;80;689;428;188;87;115;191;69
05 7 74;Paderborn;215835;90184;1203;88981;54454;14367;0;8643;1053;5436;916;561;554;364;302;167;198;200;0;37;115;711;384;155;68;68;180;48
05 9 11;Bochum, Stadt;290074;120947;2768;118179;38643;40699;0;17628;4036;6286;1355;1943;2257;1153;688;197;164;200;0;99;147;1140;563;241;145;214;277;104
05 9 13;Dortmund, Stadt;427536;163534;1547;161987;54095;53846;0;24888;6118;10025;2024;2080;3036;1089;805;272;333;238;0;107;176;926;644;342;148;332;332;131
05 9 14;Hagen, Stadt;144903;53334;827;52507;21038;16365;0;5257;1550;3519;1167;886;714;408;221;88;105;105;0;25;45;390;274;70;55;57;125;43
05 9 15;Hamm, Stadt;130191;50218;875;49343;22178;15304;0;4353;939;2735;1065;519;581;234;269;45;60;81;0;29;64;388;202;72;57;54;80;34
05 9 16;Herne, Stadt;122177;43935;1266;42669;14607;15920;0;3951;1413;1789;1324;747;808;407;250;43;115;64;0;48;54;487;275;96;48;73;101;49
05 9 54;Ennepe-Ruhr-Kreis;264905;109589;2204;107385;38498;34952;0;14226;2581;8092;1184;1837;1633;918;507;177;345;150;0;63;111;845;441;221;110;174;208;112
05 9 58;Hochsauerlandkreis;211171;94467;1051;93416;59268;17895;0;5593;915;4835;941;676;680;395;294;106;107;157;0;45;118;628;341;118;68;42;147;47
05 9 62;Märkischer Kreis;324763;124191;1913;122278;60233;30118;0;10516;2044;8635;2016;1452;1670;1275;583;154;544;239;0;72;192;977;674;240;133;124;311;76
05 9 66;Olpe;103345;46272;524;45748;31046;7446;0;2648;371;1998;593;269;259;171;116;61;41;56;0;10;70;259;135;44;35;30;68;22
05 9 70;Siegen-Wittgenstein;219198;80066;1254;78812;38037;20003;0;7400;1294;4993;1474;826;721;496;274;292;1019;225;0;61;88;556;377;189;97;84;255;51
05 9 74;Soest;229686;100322;1472;98850;52181;22758;0;8963;1401;7303;1066;914;917;426;409;132;198;244;0;63;125;740;425;142;88;93;192;70
05 9 78;Unna;315208;129628;2379;127249;48955;43315;0;13869;2852;8124;1702;1704;1878;912;626;167;207;160;0;80;113;1007;622;273;140;114;315;114
905;Nordrhein-Westfalen;13218532;5437071;86935;5350136;2404114;1374451;0;672690;112571;398754;62835;60575;71612;31638;22945;10050;13727;7728;0;3092;7302;37700;22118;10125;4976;6769;10548;3816

06 4 11;Darmstadt, Stadt;97150;41074;835;40239;12962;8500;0;11246;1210;3225;492;490;494;202;241;88;124;55;0;50;30;274;157;120;49;100;97;33
06 4 12;Frankfurt am Main, Stadt;385689;153653;2707;150946;52916;29155;0;37710;5135;12170;3256;2259;2218;1257;837;338;281;229;0;118;170;780;556;339;175;414;492;141
06 4 13;Offenbach am Main, Stadt;67489;23559;695;22864;8986;4903;0;3990;719;1487;756;418;334;413;164;34;34;53;0;25;32;134;149;43;34;61;65;30
06 4 14;Wiesbaden, Landeshauptstadt;186573;70231;1317;68914;27559;15339;0;12478;1240;6117;2149;778;763;326;355;152;199;118;0;107;63;352;261;155;77;106;164;56
06 4 31;Bergstraße;198240;71019;1826;69193;31058;16235;0;8769;851;4978;2159;1142;848;505;392;124;277;190;0;40;123;595;283;183;92;116;180;53
06 4 32;Darmstadt-Dieburg;209604;81882;2548;79334;30188;20170;0;13573;1490;6141;1632;1196;949;532;510;180;422;148;0;57;78;702;397;247;125;290;227;80
06 4 33;Groß-Gerau;170413;61899;1807;60092;22288;16678;0;8869;1312;3883;2421;883;857;386;341;106;239;93;0;59;57;500;374;212;90;161;226;57
06 4 34;Hochtaunuskreis;163826;71965;1158;70807;33012;12008;0;10904;1195;7864;1648;918;766;302;319;188;147;137;0;33;89;450;262;154;74;93;200;44
06 4 35;Main-Kinzig-Kreis;296193;108823;3644;105179;45241;25512;0;12941;2149;7226;3849;1754;1221;810;684;225;355;253;0;85;132;986;718;280;165;177;311;105
06 4 36;Main-Taunus-Kreis;162077;71860;1532;70328;32585;12180;0;10997;979;7299;1260;1009;1006;356;342;126;117;146;0;48;59;492;283;128;68;87;714;47
06 4 37;Odenwaldkreis;73645;26108;1000;25108;9992;7061;0;3038;469;1532;1081;434;219;153;151;63;137;50;0;21;21;235;159;66;56;45;99;26
06 4 38;Offenbach;236705;90386;2619;87767;41667;17489;0;12588;1521;6672;1634;1175;1076;589;471;215;188;185;0;48;103;659;472;230;102;133;459;91
06 4 39;Rheingau-Taunus-Kreis;137428;56843;1408;55435;24360;12208;0;8487;713;4919;1422;750;535;248;281;117;158;81;0;39;81;391;209;137;67;54;141;37
06 4 40;Wetteraukreis;218670;82167;2338;79829;33703;19394;0;10855;1398;6301;1463;1157;768;1719;486;137;315;140;0;51;96;663;443;204;112;88;267;69
06 5 31;Gießen;189558;66210;1638;64572;24549;17655;0;9760;1727;5191;1178;814;533;481;317;186;386;128;0;44;114;424;333;133;92;139;331;57
06 5 32;Lahn-Dill-Kreis;194383;60289;1233;59056;26575;15365;0;5812;1085;3834;1433;667;454;829;257;117;991;187;0;44;83;469;290;124;75;106;205;54
06 5 33;Limburg-Weilburg;131479;48945;1522;47423;24660;10890;0;4375;562;2961;845;582;508;304;249;94;118;100;0;36;79;376;254;109;64;47;177;33
06 5 34;Marburg-Biedenkopf;183501;67211;1533;65678;25692;17360;0;10611;2203;3837;1427;737;582;468;360;224;476;214;0;55;72;479;317;119;76;146;174;49
06 5 35;Vogelsbergkreis;91944;31742;1063;30679;13403;8224;0;3074;476;2357;921;381;236;295;179;52;127;57;0;20;55;263;197;73;53;59;145;32
06 6 11;Kassel, Stadt;138804;51674;1874;49800;15945;12928;0;11642;2039;3185;567;618;736;261;271;96;144;87;0;35;58;309;249;122;79;132;224;73
06 6 31;Fulda;165295;61976;1734;60242;35744;9261;0;5250;695;3630;1426;572;478;370;337;281;197;255;0;37;112;546;400;128;106;86;279;52
06 6 32;Hersfeld-Rotenburg;100940;36713;1422;35291;13464;12596;0;2831;663;2136;714;432;349;569;219;50;188;82;0;22;28;349;229;99;57;55;133;26
06 6 33;Kassel;192690;73832;3740;70092;23518;26777;0;8224;1438;4219;836;901;957;366;420;86;246;133;0;38;72;638;433;167;100;84;383;56
06 6 34;Schwalm-Eder-Kreis;150019;59392;3252;56140;19130;21307;0;5331;1049;4141;946;678;497;731;350;76;200;110;0;27;49;534;376;116;73;81;277;61
06 6 35;Waldeck-Frankenberg;129910;44004;1289;42715;18645;12032;0;4020;622;3579;846;439;442;366;235;84;280;93;0;26;46;369;248;79;48;40;133;43
06 6 36;Werra-Meißner-Kreis;88643;33221;1762;31459;11473;11285;0;3144;631;2173;549;392;340;219;202;41;70;78;0;20;30;284;204;99;39;31;124;31
906;Hessen;4360868;1646678;47496;1599182;659315;392512;0;240519;33571;121057;36910;21576;18166;13057;8970;3480;6416;3402;0;1185;1932;12253;8253;3866;2148;2931;6227;1436

07 1 11;Koblenz, Stadt;81862;39836;635;39201;18865;10066;0;4486;596;2523;333;414;470;303;201;154;105;62;0;23;41;208;135;75;31;20;61;29
07 1 31;Ahrweiler;99311;56528;2044;54484;31553;9669;0;4904;514;3831;532;771;549;289;250;243;93;91;0;30;70;463;281;121;68;40;91;31
07 1 32;Altenkirchen (Westerwald);103451;58017;2605;55412;29224;14041;0;3743;657;3352;666;702;461;278;242;87;583;144;0;30;67;461;261;107;84;35;137;50
07 1 33;Bad Kreuznach;121319;72110;3578;68532;28479;20636;0;6300;835;5562;1150;1268;706;712;400;231;246;158;0;25;50;745;475;144;114;85;156;55
07 1 34;Birkenfeld;70807;37294;2034;35260;14828;11001;0;2358;448;3018;819;591;341;314;256;76;79;44;0;17;27;431;240;90;61;87;99;35
07 1 35;Cochem-Zell;52594;34808;2297;32511;20132;6288;0;1586;211;1959;370;407;269;179;138;48;86;68;0;11;28;310;173;92;41;31;55;29
07 1 37;Mayen-Koblenz;164582;94389;3986;90403;48619;22535;0;6656;839;5034;1035;1328;885;531;440;197;198;129;0;34;70;825;460;186;127;71;150;54
07 1 38;Neuwied;138845;75443;3023;72420;36040;19270;0;6130;1020;4266;802;1071;741;405;368;154;430;111;0;31;76;633;335;166;89;63;163;56
07 1 40;Rhein-Hunsrück-Kreis;81747;53302;2657;50645;24971;12965;0;3928;530;4199;655;744;410;276;245;141;285;98;0;25;51;478;287;121;54;43;93;46
07 1 41;Rhein-Lahn-Kreis;99972;59337;2996;56341;24722;17740;0;4719;638;3506;805;918;547;329;279;115;222;92;0;36;78;632;392;139;83;42;249;58
07 1 43;Westerwaldkreis;153770;91009;4602;86407;44855;21267;0;6440;1002;5127;1240;1303;816;663;449;133;591;170;0;39;98;948;619;192;111;91;184;69
07 2 11;Trier, Stadt;76177;34519;1023;33496;14965;7523;0;6028;557;1901;358;491;343;245;151;152;72;47;0;7;35;265;107;85;31;59;38;36
07 2 31;Bernkastel-Wittlich;90069;56640;3393;53247;29880;10552;0;3973;460;3913;702;839;450;371;290;94;63;100;0;56;62;652;327;148;96;52;101;66
07 2 32;Bitburg-Prüm;74729;49710;3194;46516;26927;9658;0;3067;312;2927;504;726;369;291;243;78;61;93;0;30;54;576;256;102;78;46;80;38
07 2 33;Daun;50064;31952;1881;30071;18287;5510;0;1885;230;1730;376;421;318;167;147;56;62;57;0;10;28;360;165;124;37;26;51;24
07 2 35;Trier-Saarburg;108797;69292;4080;65212;34319;15687;0;5855;648;3269;773;1060;590;543;416;153;97;87;0;20;60;819;286;192;91;92;90;65
07 3 11;Frankenthal (Pfalz), Stadt;34309;18093;616;17477;8614;4430;0;1404;225;911;761;260;170;95;105;27;58;26;0;6;13;155;81;29;27;24;39;17
07 3 12;Kaiserslautern, Stadt;72347;33226;1091;32135;12964;9445;0;3674;432;2037;773;606;400;281;232;70;99;66;0;22;31;412;229;114;58;53;75;62
07 3 13;Landau in der Pfalz, Stadt;31770;16888;597;16291;6712;4068;0;2469;259;1111;339;244;161;116;125;69;133;35;0;13;16;188;100;28;39;23;24;19
07 3 14;Ludwigshafen am Rhein, Stadt;103633;50895;1613;49282;19689;14337;0;4085;908;2479;3798;913;663;456;356;66;149;62;0;33;40;559;287;96;67;64;131;44
07 3 15;Mainz, Stadt;128923;71260;1788;69472;26931;16147;0;12495;1193;4859;3947;705;641;145;256;1022;109;89;0;44;40;364;144;101;63;60;75;42
07 3 16;Neustadt an der Weinstraße, Stadt;41677;23295;757;22538;11116;4758;0;2728;238;1531;538;347;257;95;117;75;118;38;0;8;26;233;113;62;36;28;55;21
07 3 17;Pirmasens, Stadt;34918;17233;843;16390;7408;3855;0;1007;373;761;1735;309;175;80;120;21;47;22;0;8;18;181;123;47;33;17;27;23
07 3 18;Speyer, Stadt;36497;18717;555;18162;7559;4304;0;2443;309;1001;959;296;247;68;131;282;64;23;0;19;20;203;92;35;32;24;26;25
07 3 19;Worms, Stadt;58890;26920;1154;25766;10952;7754;0;2402;538;1587;620;424;264;244;132;42;91;36;0;18;21;236;158;81;40;43;59;24
07 3 20;Zweibrücken, Stadt;27943;12548;561;11987;4659;3664;0;1003;251;932;285;225;124;128;105;89;39;18;0;6;8;190;100;70;20;19;31;21
07 3 31;Alzey-Worms;95442;58627;2895;55732;21935;17406;0;5066;695;4152;1793;1044;487;624;323;141;271;57;0;34;50;739;380;149;99;61;179;47
07 3 32;Bad Dürkheim;104552;65763;2294;63469;28057;17191;0;5640;637;4416;2544;1242;605;443;398;152;254;107;0;33;49;868;363;128;94;67;123;58
07 3 33;Donnersbergkreis;60291;37603;2040;35563;13301;11620;0;2790;444;2681;1114;715;352;722;266;99;117;54;0;24;38;606;259;93;75;43;95;55
07 3 34;Germersheim;90695;55541;2258;53283;25297;12713;0;4269;490;3324;2643;936;457;430;359;467;235;102;0;22;41;683;353;138;87;47;133;57
07 3 35;Kaiserslautern;83444;53944;2707;51237;23587;14608;0;3434;502;2656;1795;1008;488;520;410;124;191;107;0;25;40;836;424;121;106;46;148;61
07 3 36;Kusel;61829;37998;2541;35457;12225;13043;0;2400;465;1987;1848;804;353;382;278;95;99;83;0;14;38;646;254;126;81;64;116;56
07 3 37;Südliche Weinstraße;85834;57422;2723;54699;25772;12779;0;5189;562;3749;1587;1173;476;634;394;175;335;125;0;30;60;787;371;155;126;49;117;54
07 3 38;Rhein-Pfalz-Kreis;113732;70476;2586;67890;30956;17162;0;6221;704;4590;3112;1226;748;397;449;215;198;102;0;25;65;805;340;179;124;70;145;57
07 3 39;Mainz-Bingen;150646;93079;3507;89572;38678;23736;0;10956;1147;6768;2172;1498;832;419;420;450;207;148;0;51;95;864;506;206;115;82;177;45
07 3 40;Südwestpfalz;82658;56202;3705;52497;26259;11916;0;2992;624;3302;2444;1088;504;525;406;147;178;127;0;25;51;930;412;171;126;68;149;53
907;Rheinland-Pfalz;3068126;1789916;80859;1709057;809337;439344;0;154725;20493;110951;45927;28117;16669;12700;9897;5940;6265;2978;0;884;1655;19291;9888;4213;2644;1835;3722;1582

08 1 11;Stuttgart, Landeshauptstadt;359727;186982;3190;183792;68784;38920;0;40652;3414;14148;6006;2464;2803;398;946;1040;759;194;0;148;114;1090;670;510;244;211;168;109
08 1 15;Böblingen;249380;136903;3665;133238;61698;25948;0;20171;1303;10263;3634;1674;1194;464;871;598;1884;227;0;61;92;1390;769;535;150;67;165;80
08 1 16;Esslingen;352765;196921;5121;191800;85103;38980;0;29243;1750;13217;9473;2539;2449;574;1228;1053;1421;362;0;81;127;1881;919;778;230;108;200;84
