# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
13 0 03;Rostock, Hansestadt;163105;58360;2061;56299;15896;11552;0;5284;15122;2356;390;765;1233;619;503;60;121;34;0;80;62;910;407;246;181;226;122;130
13 0 04;Schwerin, Landeshauptstadt;78630;30451;1063;29388;10168;5704;0;2429;7083;1249;217;336;445;290;265;33;62;33;0;32;33;386;199;125;86;98;57;58
13 0 05;Stralsund, Hansestadt;49169;20100;692;19408;7388;2762;0;1027;4637;782;223;291;239;670;221;29;64;38;0;35;24;461;169;127;88;55;38;40
13 0 06;Wismar, Hansestadt;36628;13107;546;12561;3857;3722;0;630;2522;638;89;165;157;126;108;20;16;20;0;19;12;196;99;36;35;31;35;28
13 0 51;Bad Doberan;97459;48252;2598;45654;19232;7517;0;2397;9166;2172;391;890;535;524;483;60;83;41;0;48;34;1001;385;218;157;115;102;103
13 0 52;Demmin;73139;34640;2267;32373;16734;3646;0;821;6808;1000;428;440;212;446;315;34;94;47;0;29;28;606;270;105;83;53;87;87
13 0 53;Güstrow;88240;38927;2156;36771;16649;5959;0;1319;7630;1249;471;569;278;461;388;41;156;34;0;43;45;671;315;145;105;95;71;77
13 0 54;Ludwigslust;106006;54273;2986;51287;21795;10376;0;1928;9335;1841;453;738;450;1611;559;47;153;38;0;47;48;968;368;127;128;106;88;83
13 0 55;Mecklenburg-Strelitz;70267;32534;1877;30657;13575;4753;0;1088;6807;1237;400;516;242;427;331;30;72;32;0;24;28;482;221;119;80;77;47;69
13 0 56;Müritz;56533;27881;1810;26071;10970;4239;0;1240;5327;1134;305;407;178;737;347;39;65;25;0;24;26;528;187;75;78;47;38;55
13 0 57;Nordvorpommern;94437;44978;2630;42348;21014;5321;0;1408;8338;1440;465;692;395;644;468;49;97;46;0;45;43;843;376;242;102;110;101;109
13 0 58;Nordwestmecklenburg;96586;46420;2536;43884;18665;8158;0;2079;8522;1700;409;753;351;573;501;49;79;42;0;45;41;928;380;186;148;87;84;104
13 0 59;Ostvorpommern;92200;44951;2702;42249;21432;4474;0;1250;8210;1413;469;673;376;1448;446;34;102;49;0;45;44;726;396;186;147;101;132;96
13 0 60;Parchim;85643;42201;2509;39692;18110;6444;0;1585;7872;1559;393;621;355;425;414;43;111;47;0;47;44;717;349;146;135;92;92;91
13 0 61;Rügen;59992;28926;1837;27089;12367;3010;0;1063;6160;1345;317;437;262;327;264;23;55;28;0;35;26;626;324;121;103;55;65;76
13 0 62;Uecker-Randow;65597;31940;2259;29681;13798;3616;0;670;7178;858;471;467;215;660;317;31;56;45;0;56;25;550;271;82;100;69;62;84
913;Mecklenburg-Vorpommern;1413717;636920;33944;602976;255835;97045;0;28665;130782;23441;6238;9258;6266;10434;6273;671;1480;643;0;700;596;11176;4960;2419;1870;1538;1283;1403

14 1 61;Chemnitz, Stadt;208842;90789;2773;88016;23408;13090;0;5575;24792;4436;7992;1255;1513;847;717;157;672;249;0;144;106;1424;464;353;298;189;167;168
14 1 66;Plauen, Stadt;58293;20999;792;20207;6314;2940;0;1022;5437;1376;697;299;236;393;137;36;165;48;0;23;25;353;156;59;67;48;340;36
14 1 67;Zwickau, Stadt;84472;33683;1611;32072;10043;4341;0;1331;9208;1579;1220;606;541;584;312;35;335;99;0;133;34;688;263;271;173;110;99;67
14 1 71;Annaberg;70966;37766;2162;35604;15476;2978;0;972;6905;1684;1387;582;309;2349;276;58;670;321;0;66;55;784;232;147;133;41;100;79
14 1 73;Chemnitzer Land;114456;50997;2850;48147;18010;5976;0;1892;11174;2644;1504;890;750;1741;433;77;582;193;0;77;62;1058;297;281;169;94;150;93
14 1 77;Freiberg;121691;63985;3480;60505;23669;5800;0;2361;13771;3250;2173;1021;608;2831;612;117;356;293;0;102;84;1744;494;447;311;138;171;152
14 1 78;Vogtlandkreis;164716;75120;3913;71207;27290;8723;0;2355;14959;3786;2829;1100;693;4245;531;86;1272;332;0;72;75;1297;523;257;257;130;266;129
14 1 81;Mittlerer Erzgebirgskreis;76054;39024;2610;36414;15541;3276;0;1033;7314;2217;1703;648;242;1520;297;58;534;301;0;46;37;819;255;130;162;75;131;75
14 1 82;Mittweida;111058;53690;3211;50479;20617;5807;0;1595;11200;2634;2117;874;585;1603;470;75;447;160;0;66;61;1118;333;170;183;98;151;115
14 1 88;Stollberg;76226;36917;1804;35113;12694;4023;0;1150;8046;1635;1943;609;368;2132;300;50;482;235;0;39;51;704;208;125;121;78;61;59
14 1 91;Aue-Schwarzenberg;112672;53124;2869;50255;20591;4941;0;1307;11460;2235;2102;793;465;2079;407;70;1179;316;0;69;65;1073;330;261;211;88;126;87
14 1 93;Zwickauer Land;109471;50464;3104;47360;18768;5387;0;1583;11313;2536;1791;760;524;879;440;58;758;266;0;105;52;1044;350;227;181;94;145;99
14 2 62;Dresden, Stadt;393808;182163;6266;175897;54178;19929;0;25141;42411;9877;3281;2492;3791;3816;1208;394;550;347;0;747;154;3208;1542;811;684;408;626;302
14 2 63;Görlitz, Stadt;48033;20571;943;19628;6426;2134;0;1197;4579;1036;418;484;492;1075;228;42;83;99;0;114;31;604;229;75;98;56;68;60
14 2 64;Hoyerswerda, Stadt;37567;14364;608;13756;3995;1943;0;455;4719;641;367;170;201;206;151;15;26;28;0;28;17;371;138;91;73;40;47;34
14 2 72;Bautzen;126298;62387;3735;58652;26086;4887;0;2210;12366;3287;1866;1131;668;1228;572;106;374;189;0;132;66;1731;594;312;374;87;214;172
14 2 80;Meißen;124558;59108;2768;56340;22315;5447;0;4066;11059;3456;1564;918;1079;2261;524;105;238;118;0;214;51;1367;517;371;220;108;206;136
14 2 84;Niederschles. Oberlausitzkreis;82142;38389;2254;36135;13947;3462;0;1239;9026;1662;990;624;445;1374;470;53;202;163;0;89;43;1191;396;225;223;90;109;112
14 2 85;Riesa-Großenhain;97012;46957;2838;44119;17292;4193;0;1568;9878;2102;1221;727;564;3403;514;65;107;109;0;89;43;1248;323;173;203;62;118;117
14 2 86;Löbau-Zittau;122291;59277;3868;55409;22800;4572;0;2286;12813;3304;1898;1225;859;1272;509;104;327;210;0;108;61;1480;582;285;261;87;219;147
14 2 87;Sächsische Schweiz;118240;61047;2892;58155;23625;4654;0;2800;12638;2958;1021;1135;856;4044;632;100;127;133;0;159;63;1590;516;328;315;112;186;163
14 2 90;Weißeritzkreis;101500;54407;3095;51312;23150;4469;0;2765;9642;2546;2626;774;666;1071;412;89;176;153;0;91;41;1400;391;320;225;80;128;97
14 2 92;Kamenz;125418;63336;3582;59754;23948;6341;0;2491;13649;3205;1998;1088;725;1299;646;100;297;187;0;132;66;1852;569;305;339;109;203;205
14 3 65;Leipzig, Stadt;395612;154331;4856;149475;38649;28917;0;18150;40458;6496;2410;2394;2282;1911;1051;289;510;200;0;308;131;2287;1003;511;425;394;386;313
14 3 74;Delitzsch;102254;44665;2448;42217;16513;6307;0;1703;10036;2217;1126;679;495;689;392;61;88;49;0;46;29;903;288;158;130;82;139;87
14 3 75;Döbeln;62062;27696;1387;26309;11927;2682;0;775;6037;1435;786;356;207;590;207;29;44;33;0;35;23;523;204;104;118;56;74;64
14 3 79;Leipziger Land;124776;56878;3015;53863;20504;8335;0;2371;13118;2338;1386;858;598;1035;448;74;168;89;0;59;56;1169;426;200;178;115;220;118
14 3 83;Muldentalkreis;110444;53227;2894;50333;18524;6538;0;2322;11083;2506;1087;918;554;3412;510;74;230;98;0;57;48;1210;335;270;196;116;135;110
14 3 89;Torgau-Oschatz;81468;37843;2343;35500;14322;4365;0;1244;8105;1889;1343;530;277;1070;337;44;56;64;0;28;29;892;339;124;133;78;157;74
